id,:TYPE,:START_ID,:END_ID,references,dependencyTypes,nrDependencies:INT,nrCalls:INT
JetUML-contains-JetUML-app,CONTAINS,JetUML,JetUML-app,{},,,
JetUML-app-contains-org.jetuml.diagram.edges,CONTAINS,JetUML-app,org.jetuml.diagram.edges,{},,,
JetUML-app-contains-org.jetuml.rendering,CONTAINS,JetUML-app,org.jetuml.rendering,{},,,
JetUML-app-contains-org.jetuml.diagram.builder,CONTAINS,JetUML-app,org.jetuml.diagram.builder,{},,,
JetUML-app-contains-org.jetuml,CONTAINS,JetUML-app,org.jetuml,{},,,
JetUML-app-contains-org.jetuml.diagram,CONTAINS,JetUML-app,org.jetuml.diagram,{},,,
JetUML-app-contains-org.jetuml.annotations,CONTAINS,JetUML-app,org.jetuml.annotations,{},,,
JetUML-app-contains-org.jetuml.gui,CONTAINS,JetUML-app,org.jetuml.gui,{},,,
JetUML-app-contains-org.jetuml.gui.tips,CONTAINS,JetUML-app,org.jetuml.gui.tips,{},,,
JetUML-app-contains-org.jetuml.application,CONTAINS,JetUML-app,org.jetuml.application,{},,,
JetUML-app-contains-org.jetuml.diagram.nodes,CONTAINS,JetUML-app,org.jetuml.diagram.nodes,{},,,
JetUML-app-contains-org.jetuml.persistence,CONTAINS,JetUML-app,org.jetuml.persistence,{},,,
JetUML-app-contains-org.jetuml.persistence.json,CONTAINS,JetUML-app,org.jetuml.persistence.json,{},,,
JetUML-app-contains-org.jetuml.diagram.validator,CONTAINS,JetUML-app,org.jetuml.diagram.validator,{},,,
JetUML-app-contains-org.jetuml.geom,CONTAINS,JetUML-app,org.jetuml.geom,{},,,
JetUML-app-contains-org.jetuml.rendering.nodes,CONTAINS,JetUML-app,org.jetuml.rendering.nodes,{},,,
JetUML-app-contains-org.jetuml.diagram.validator.constraints,CONTAINS,JetUML-app,org.jetuml.diagram.validator.constraints,{},,,
JetUML-app-contains-org.jetuml.rendering.edges,CONTAINS,JetUML-app,org.jetuml.rendering.edges,{},,,
531b3f7764b763588a0bcd9d1dc4ff27,CONTAINS,org.jetuml.gui,org.jetuml.gui.NamedHandler,{},,,
d2d8c735a03b238f6d65642bf7c61ac6,CONTAINS,org.jetuml.diagram.validator.constraints,org.jetuml.diagram.validator.constraints.ConstraintMaxNumberOfEdgesOfGivenTypeBetweenNodes,{},,,
25d783cc2c1316f63dae15dd2d511791,CONTAINS,org.jetuml.diagram.validator,org.jetuml.diagram.validator.ClassDiagramValidator,{},,,
1efc1eddae51869226a925aec86f9e01,CONTAINS,org.jetuml.rendering,org.jetuml.rendering.ObjectDiagramRenderer,{},,,
1166f1980c8b48a0f4f1d6bd0c50bb4f,CONTAINS,org.jetuml.application,org.jetuml.application.UserPreferences$BooleanPreferenceChangeHandler,{},,,
0cde0e1958c9810fe07622156c53bff6,CONTAINS,org.jetuml.diagram.nodes,org.jetuml.diagram.nodes.StateNode,{},,,
66b734fede738f01d3d06908165f1430,CONTAINS,org.jetuml.geom,org.jetuml.geom.Dimension,{},,,
4c8b1d31d3ca205f80b3b9140f763f9a,CONTAINS,org.jetuml.diagram.builder,org.jetuml.diagram.builder.SimpleOperation,{},,,
737813ed6c40baf8d0d2aa8e3688ac21,CONTAINS,org.jetuml.application,org.jetuml.application.RecentFilesQueue,{},,,
641ea7d68b0e2601421c9dda7ed64e08,CONTAINS,org.jetuml.diagram.edges,org.jetuml.diagram.edges.NoteEdge,{},,,
b0f9ce2a313dce90ea900a740085bfb6,CONTAINS,org.jetuml.geom,org.jetuml.geom.Point,{},,,
13c66b8e9745013f1a078d140bdfaa1a,CONTAINS,org.jetuml.diagram.validator.constraints,org.jetuml.diagram.validator.constraints.ConstraintNoDirectCyclesForEdgeType,{},,,
7581314ff3c0dca4c7f342a80aa0b4d9,CONTAINS,org.jetuml.rendering.nodes,org.jetuml.rendering.nodes.UseCaseNodeRenderer,{},,,
68d8880519aad931e24b9a397460b3b2,CONTAINS,org.jetuml.gui,org.jetuml.gui.EditorFrame,{},,,
7a75d10f10399d07c8d085f167eaf6ce,CONTAINS,org.jetuml.application,org.jetuml.application.UserPreferences$IntegerPreference,{},,,
8b212b5374d225e3b28f1a1b61017e89,CONTAINS,org.jetuml.diagram,org.jetuml.diagram.Edge,{},,,
0948b3d2ae1d43f8a76a18832472aeb8,CONTAINS,org.jetuml.diagram.edges,org.jetuml.diagram.edges.SingleLabelEdge,{},,,
14280fc42f25d6b2fb1c049e1c632056,CONTAINS,org.jetuml.rendering.edges,org.jetuml.rendering.edges.StoredEdgeRenderer,{},,,
51572f58f8cd34af1377a858ac2e16da,CONTAINS,org.jetuml.gui,org.jetuml.gui.ToastNotification$Type,{},,,
d26f65f7ff0b10c44bd1486c3c77bf36,CONTAINS,org.jetuml.geom,org.jetuml.geom.Rectangle,{},,,
43a9f4fa6f74fef30a4563ce428a3baf,CONTAINS,org.jetuml.rendering.nodes,org.jetuml.rendering.nodes.AbstractNodeRenderer,{},,,
c5e570fdda166c882ea3dbdccaf9cffc,CONTAINS,org.jetuml.gui,org.jetuml.gui.DeserializationErrorAlert,{},,,
b4d6064eeef0c6dcc6e3997a8b75eab6,CONTAINS,org.jetuml.rendering,org.jetuml.rendering.ClassDiagramRenderer,{},,,
2fe9ec3038fc5660626c7847886c9a39,CONTAINS,org.jetuml.gui,org.jetuml.gui.MouseDraggedGestureHandler,{},,,
922c9ec9f6cc7cd2ad20216eb34a917a,CONTAINS,org.jetuml.diagram.validator.constraints,org.jetuml.diagram.validator.constraints.ConstraintReturnsToCaller,{},,,
f9a0f3035c8316dadf7f3218fa985f85,CONTAINS,org.jetuml.diagram.builder,org.jetuml.diagram.builder.UseCaseDiagramBuilder,{},,,
48bd563d2f75d03765802021c877f4e2,CONTAINS,org.jetuml.diagram.edges,org.jetuml.diagram.edges.ThreeLabelEdge,{},,,
610ce4736c9c2946554ac9928a2960c0,CONTAINS,org.jetuml.rendering,org.jetuml.rendering.StringRenderer$TextDecoration,{},,,
5503d948eb8d8889de675762ef7c60a8,CONTAINS,org.jetuml.persistence.json,org.jetuml.persistence.json.CharacterBuffer,{},,,
7e3f8d2e563af3387a13ddefc644c58e,CONTAINS,org.jetuml.gui.tips,org.jetuml.gui.tips.TipLoader,{},,,
af7ef57f7f41fbd0b30f376a6e004114,CONTAINS,org.jetuml.diagram.validator.constraints,org.jetuml.diagram.validator.constraints.ConstraintNoEdgeToNoteExceptNoteEdge,{},,,
874e590b6d9b3b10ef27dea1fb3f38a4,CONTAINS,org.jetuml.diagram.validator.constraints,org.jetuml.diagram.validator.constraints.ConstraintValidTransitionEdgeStartNode,{},,,
e324767dc192ee7b92207fe56de15cd2,CONTAINS,org.jetuml.persistence.json,org.jetuml.persistence.json.JsonObject,{},,,
74f4c3b9b9ddadc1346a2674f893e910,CONTAINS,org.jetuml.diagram.edges,org.jetuml.diagram.edges.ObjectReferenceEdge,{},,,
d0dfa87126ec2c6756fd56eb33b72f13,CONTAINS,org.jetuml.diagram.builder,org.jetuml.diagram.builder.ClassDiagramBuilder,{},,,
dcf0d0ced86e920c396c9d1a2bab3bdc,CONTAINS,org.jetuml.rendering,org.jetuml.rendering.StringRenderer$CanvasFont,{},,,
68c19a2e24bfc52783c8dcf1b715dbfb,CONTAINS,org.jetuml.diagram.validator.constraints,org.jetuml.diagram.validator.constraints.ConstraintNoCombinedAssociationAggregation,{},,,
c13c7897aecf5866d304e140c9bb0bb6,CONTAINS,org.jetuml.persistence.json,org.jetuml.persistence.json.JsonWriter,{},,,
c3fb40bd0e72b1ad87548297cdda651c,CONTAINS,org.jetuml.rendering.edges,org.jetuml.rendering.edges.EdgeStorage,{},,,
53237c6dcdc1134bd2bb4b4ec7f76fcb,CONTAINS,org.jetuml.rendering.edges,org.jetuml.rendering.edges.CallEdgeRenderer,{},,,
6466dae80d47f6eab82cc3c25b30b2e4,CONTAINS,org.jetuml.application,org.jetuml.application.Clipboard,{},,,
7219662ec51b93ae1681321cbf63324f,CONTAINS,org.jetuml.gui,org.jetuml.gui.NewDiagramHandler,{},,,
84400f0fef1b6f6b4e6816c1f2d964ef,CONTAINS,org.jetuml.diagram,org.jetuml.diagram.AbstractDiagramElement,{},,,
0c5af734e49f6368ffb321e78a37fc10,CONTAINS,org.jetuml.application,org.jetuml.application.Version,{},,,
0b96573f82d373f893960f03150ecb00,CONTAINS,org.jetuml.rendering,org.jetuml.rendering.SequenceDiagramRenderer,{},,,
f9cdbcc116efd48b05bbbd2ffdc9c55b,CONTAINS,org.jetuml.gui,org.jetuml.gui.DiagramTab,{},,,
dc367446021d8d77cfdfaffa8a97c67e,CONTAINS,org.jetuml.rendering,org.jetuml.rendering.EdgePriority,{},,,
f61c91c917b188ec4d4232665b7d35a4,CONTAINS,org.jetuml.gui,org.jetuml.gui.KeyEventHandler,{},,,
a793218cfe0e5f16ec9423eababacd1e,CONTAINS,org.jetuml.diagram.nodes,org.jetuml.diagram.nodes.NoteNode,{},,,
