id:ID,:LABEL,fullName,simpleName,color,dependencyProfileCategory,cohesion
JetUML,Domain,JetUML,JetUML,#666666,,
JetUML-app,Application,JetUML-app,JetUML-app,#666666,,
org.jetuml.diagram.edges,Sublayer,org.jetuml.diagram.edges,edges,#666666,,
org.jetuml.rendering,Sublayer,org.jetuml.rendering,rendering,#666666,,
org.jetuml.diagram.builder,Sublayer,org.jetuml.diagram.builder,builder,#666666,,
org.jetuml,Sublayer,org.jetuml,jetuml,#666666,,
org.jetuml.diagram,Sublayer,org.jetuml.diagram,diagram,#666666,,
org.jetuml.annotations,Sublayer,org.jetuml.annotations,annotations,#666666,,
org.jetuml.gui,Sublayer,org.jetuml.gui,gui,#666666,,
org.jetuml.gui.tips,Sublayer,org.jetuml.gui.tips,tips,#666666,,
org.jetuml.application,Sublayer,org.jetuml.application,application,#666666,,
org.jetuml.diagram.nodes,Sublayer,org.jetuml.diagram.nodes,nodes,#666666,,
org.jetuml.persistence,Sublayer,org.jetuml.persistence,persistence,#666666,,
org.jetuml.persistence.json,Sublayer,org.jetuml.persistence.json,json,#666666,,
org.jetuml.diagram.validator,Sublayer,org.jetuml.diagram.validator,validator,#666666,,
org.jetuml.geom,Sublayer,org.jetuml.geom,geom,#666666,,
org.jetuml.rendering.nodes,Sublayer,org.jetuml.rendering.nodes,nodes,#666666,,
org.jetuml.diagram.validator.constraints,Sublayer,org.jetuml.diagram.validator.constraints,constraints,#666666,,
org.jetuml.rendering.edges,Sublayer,org.jetuml.rendering.edges,edges,#666666,,
org.jetuml.diagram.edges.AggregationEdge$Type,Module,org.jetuml.diagram.edges.AggregationEdge$Type,Type,#cccccc,,
org.jetuml.rendering.ArrowHead,Module,org.jetuml.rendering.ArrowHead,ArrowHead,#cccccc,inbound,
org.jetuml.persistence.json.JsonValueParser,Module,org.jetuml.persistence.json.JsonValueParser,JsonValueParser,#cccccc,hidden,
org.jetuml.persistence.json.JsonWriter,Module,org.jetuml.persistence.json.JsonWriter,JsonWriter,#cccccc,hidden,
org.jetuml.gui.ToastNotification$Type,Module,org.jetuml.gui.ToastNotification$Type,Type,#cccccc,,
org.jetuml.rendering.edges.ObjectReferenceEdgeRenderer,Module,org.jetuml.rendering.edges.ObjectReferenceEdgeRenderer,ObjectReferenceEdgeRenderer,#cccccc,outbound,
org.jetuml.gui.DiagramTabToolBar,Module,org.jetuml.gui.DiagramTabToolBar,DiagramTabToolBar,#cccccc,outbound,
org.jetuml.persistence.json.JsonArray,Module,org.jetuml.persistence.json.JsonArray,JsonArray,#cccccc,inbound,
