id:ID,:LABEL,fullName,simpleName,color,dependencyProfileCategory,cohesion
Solitaire,Domain,Solitaire,Solitaire,#666666,,
Solitaire-app,Application,Solitaire-app,Solitaire-app,#666666,,
ca.mcgill.cs.stg.solitaire.gui,Sublayer,ca.mcgill.cs.stg.solitaire.gui,gui,#666666,,
ca.mcgill.cs.stg.solitaire.model,Sublayer,ca.mcgill.cs.stg.solitaire.model,model,#666666,,
ca.mcgill.cs.stg.solitaire.ai,Sublayer,ca.mcgill.cs.stg.solitaire.ai,ai,#666666,,
ca.mcgill.cs.stg.solitaire.cards,Sublayer,ca.mcgill.cs.stg.solitaire.cards,cards,#666666,,
ca.mcgill.cs.stg.solitaire.model.GameModel$RevealTopMove,Module,ca.mcgill.cs.stg.solitaire.model.GameModel$RevealTopMove,RevealTopMove,#cccccc,hidden,
ca.mcgill.cs.stg.solitaire.model.GameModelView,Module,ca.mcgill.cs.stg.solitaire.model.GameModelView,GameModelView,#cccccc,inbound,
ca.mcgill.cs.stg.solitaire.cards.Card,Module,ca.mcgill.cs.stg.solitaire.cards.Card,Card,#cccccc,inbound,
ca.mcgill.cs.stg.solitaire.cards.Deck,Module,ca.mcgill.cs.stg.solitaire.cards.Deck,Deck,#cccccc,inbound,
ca.mcgill.cs.stg.solitaire.gui.DiscardPileView,Module,ca.mcgill.cs.stg.solitaire.gui.DiscardPileView,DiscardPileView,#cccccc,hidden,
ca.mcgill.cs.stg.solitaire.cards.Rank,Module,ca.mcgill.cs.stg.solitaire.cards.Rank,Rank,#cccccc,,
ca.mcgill.cs.stg.solitaire.model.Foundations,Module,ca.mcgill.cs.stg.solitaire.model.Foundations,Foundations,#cccccc,outbound,
ca.mcgill.cs.stg.solitaire.model.OtherLocation,Module,ca.mcgill.cs.stg.solitaire.model.OtherLocation,OtherLocation,#cccccc,,
ca.mcgill.cs.stg.solitaire.gui.Solitaire,Module,ca.mcgill.cs.stg.solitaire.gui.Solitaire,Solitaire,#cccccc,outbound,
ca.mcgill.cs.stg.solitaire.cards.CardSerializer,Module,ca.mcgill.cs.stg.solitaire.cards.CardSerializer,CardSerializer,#cccccc,inbound,
ca.mcgill.cs.stg.solitaire.cards.CardStack,Module,ca.mcgill.cs.stg.solitaire.cards.CardStack,CardStack,#cccccc,inbound,
ca.mcgill.cs.stg.solitaire.cards.Suit,Module,ca.mcgill.cs.stg.solitaire.cards.Suit,Suit,#cccccc,inbound,
ca.mcgill.cs.stg.solitaire.model.TableauPile,Module,ca.mcgill.cs.stg.solitaire.model.TableauPile,TableauPile,#cccccc,,
ca.mcgill.cs.stg.solitaire.ai.Driver,Module,ca.mcgill.cs.stg.solitaire.ai.Driver,Driver,#cccccc,outbound,
ca.mcgill.cs.stg.solitaire.model.Location,Module,ca.mcgill.cs.stg.solitaire.model.Location,Location,#cccccc,,
ca.mcgill.cs.stg.solitaire.model.Move,Module,ca.mcgill.cs.stg.solitaire.model.Move,Move,#cccccc,hidden,
ca.mcgill.cs.stg.solitaire.gui.DeckView,Module,ca.mcgill.cs.stg.solitaire.gui.DeckView,DeckView,#cccccc,outbound,
ca.mcgill.cs.stg.solitaire.model.FoundationPile,Module,ca.mcgill.cs.stg.solitaire.model.FoundationPile,FoundationPile,#cccccc,,
ca.mcgill.cs.stg.solitaire.gui.CardPileView,Module,ca.mcgill.cs.stg.solitaire.gui.CardPileView,CardPileView,#cccccc,outbound,
ca.mcgill.cs.stg.solitaire.model.GameModel$CardMove,Module,ca.mcgill.cs.stg.solitaire.model.GameModel$CardMove,CardMove,#cccccc,hidden,
ca.mcgill.cs.stg.solitaire.model.GameModel,Module,ca.mcgill.cs.stg.solitaire.model.GameModel,GameModel,#cccccc,transit,
ca.mcgill.cs.stg.solitaire.gui.CardDragHandler,Module,ca.mcgill.cs.stg.solitaire.gui.CardDragHandler,CardDragHandler,#cccccc,outbound,
ca.mcgill.cs.stg.solitaire.model.CompositeMove,Module,ca.mcgill.cs.stg.solitaire.model.CompositeMove,CompositeMove,#cccccc,hidden,
ca.mcgill.cs.stg.solitaire.model.GameModelListener,Module,ca.mcgill.cs.stg.solitaire.model.GameModelListener,GameModelListener,#cccccc,hidden,
ca.mcgill.cs.stg.solitaire.ai.NullPlayingStrategy,Module,ca.mcgill.cs.stg.solitaire.ai.NullPlayingStrategy,NullPlayingStrategy,#cccccc,outbound,
ca.mcgill.cs.stg.solitaire.ai.GreedyPlayingStrategy,Module,ca.mcgill.cs.stg.solitaire.ai.GreedyPlayingStrategy,GreedyPlayingStrategy,#cccccc,outbound,
ca.mcgill.cs.stg.solitaire.ai.CrashTest,Module,ca.mcgill.cs.stg.solitaire.ai.CrashTest,CrashTest,#cccccc,outbound,
ca.mcgill.cs.stg.solitaire.gui.CardImages,Module,ca.mcgill.cs.stg.solitaire.gui.CardImages,CardImages,#cccccc,outbound,
ca.mcgill.cs.stg.solitaire.model.Tableau,Module,ca.mcgill.cs.stg.solitaire.model.Tableau,Tableau,#cccccc,outbound,
ca.mcgill.cs.stg.solitaire.gui.SuitStack,Module,ca.mcgill.cs.stg.solitaire.gui.SuitStack,SuitStack,#cccccc,outbound,
ca.mcgill.cs.stg.solitaire.ai.PlayingStrategy,Module,ca.mcgill.cs.stg.solitaire.ai.PlayingStrategy,PlayingStrategy,#cccccc,inbound,
