id:ID,:LABEL,fullName,simpleName,color,dependencyProfileCategory,cohesion
SweetHome3D,Domain,SweetHome3D,SweetHome3D,#666666,,
SweetHome3D-app,Application,SweetHome3D-app,SweetHome3D-app,#666666,,
com.eteks.sweethome3d.j3d,Sublayer,com.eteks.sweethome3d.j3d,j3d,#666666,,
com.eteks.sweethome3d.tools,Sublayer,com.eteks.sweethome3d.tools,tools,#666666,,
com.eteks.sweethome3d.applet,Sublayer,com.eteks.sweethome3d.applet,applet,#666666,,
com.eteks.sweethome3d.viewcontroller,Sublayer,com.eteks.sweethome3d.viewcontroller,viewcontroller,#666666,,
com.eteks.sweethome3d.model,Sublayer,com.eteks.sweethome3d.model,model,#666666,,
com.eteks.sweethome3d.plugin,Sublayer,com.eteks.sweethome3d.plugin,plugin,#666666,,
com.eteks.sweethome3d.swing,Sublayer,com.eteks.sweethome3d.swing,swing,#666666,,
com.eteks.sweethome3d.junit,Sublayer,com.eteks.sweethome3d.junit,junit,#666666,,
com.eteks.sweethome3d.io,Sublayer,com.eteks.sweethome3d.io,io,#666666,,
com.eteks.sweethome3d,Sublayer,com.eteks.sweethome3d,sweethome3d,#666666,,
com.eteks.sweethome3d.viewcontroller.PlanController$AbstractModeChangeState,Module,com.eteks.sweethome3d.viewcontroller.PlanController$AbstractModeChangeState,AbstractModeChangeState,#cccccc,hidden,
com.eteks.sweethome3d.swing.PhotoSizeAndQualityPanel$LanguageChangeListener,Module,com.eteks.sweethome3d.swing.PhotoSizeAndQualityPanel$LanguageChangeListener,LanguageChangeListener,#cccccc,outbound,
com.eteks.sweethome3d.viewcontroller.HomeController$UpdatesHandler,Module,com.eteks.sweethome3d.viewcontroller.HomeController$UpdatesHandler,UpdatesHandler,#cccccc,hidden,
com.eteks.sweethome3d.swing.ControllerAction,Module,com.eteks.sweethome3d.swing.ControllerAction,ControllerAction,#cccccc,hidden,
com.eteks.sweethome3d.swing.TextureChoiceComponent$TexturePanel$TextureListCellRenderer,Module,com.eteks.sweethome3d.swing.TextureChoiceComponent$TexturePanel$TextureListCellRenderer,TextureListCellRenderer,#cccccc,outbound,
com.eteks.sweethome3d.SweetHome3D$StandaloneSingleInstanceService,Module,com.eteks.sweethome3d.SweetHome3D$StandaloneSingleInstanceService,StandaloneSingleInstanceService,#cccccc,outbound,
com.eteks.sweethome3d.swing.VideoPanel$ActionType,Module,com.eteks.sweethome3d.swing.VideoPanel$ActionType,ActionType,#cccccc,,
com.eteks.sweethome3d.viewcontroller.View,Module,com.eteks.sweethome3d.viewcontroller.View,View,#cccccc,,
com.eteks.sweethome3d.viewcontroller.Home3DAttributesController$Property,Module,com.eteks.sweethome3d.viewcontroller.Home3DAttributesController$Property,Property,#cccccc,,
com.eteks.sweethome3d.swing.HomeComponent3D$NavigationButton,Module,com.eteks.sweethome3d.swing.HomeComponent3D$NavigationButton,NavigationButton,#cccccc,outbound,
com.eteks.sweethome3d.model.TexturesCategory,Module,com.eteks.sweethome3d.model.TexturesCategory,TexturesCategory,#cccccc,inbound,
com.eteks.sweethome3d.swing.ModelMaterialsComponent$ModelMaterialsPanel$MaterialBlinker,Module,com.eteks.sweethome3d.swing.ModelMaterialsComponent$ModelMaterialsPanel$MaterialBlinker,MaterialBlinker,#cccccc,hidden,
com.eteks.sweethome3d.swing.LocatedTransferHandler,Module,com.eteks.sweethome3d.swing.LocatedTransferHandler,LocatedTransferHandler,#cccccc,outbound,
com.eteks.sweethome3d.viewcontroller.HomeController$TexturesCatalogChangeListener,Module,com.eteks.sweethome3d.viewcontroller.HomeController$TexturesCatalogChangeListener,TexturesCatalogChangeListener,#cccccc,hidden,
com.eteks.sweethome3d.viewcontroller.FurnitureCatalogController$FurnitureCatalogViewChangeListener,Module,com.eteks.sweethome3d.viewcontroller.FurnitureCatalogController$FurnitureCatalogViewChangeListener,FurnitureCatalogViewChangeListener,#cccccc,outbound,
com.eteks.sweethome3d.applet.AppletApplication$AppletFurnitureTable,Module,com.eteks.sweethome3d.applet.AppletApplication$AppletFurnitureTable,AppletFurnitureTable,#cccccc,outbound,
com.eteks.sweethome3d.j3d.Component3DManager$RenderingObserver,Module,com.eteks.sweethome3d.j3d.Component3DManager$RenderingObserver,RenderingObserver,#cccccc,hidden,
com.eteks.sweethome3d.j3d.ModelManager$SVGPathSupport,Module,com.eteks.sweethome3d.j3d.ModelManager$SVGPathSupport,SVGPathSupport,#cccccc,hidden,
com.eteks.sweethome3d.junit.PlanComponentWithFurnitureTest,Module,com.eteks.sweethome3d.junit.PlanComponentWithFurnitureTest,PlanComponentWithFurnitureTest,#cccccc,outbound,
com.eteks.sweethome3d.swing.LabelPanel,Module,com.eteks.sweethome3d.swing.LabelPanel,LabelPanel,#cccccc,outbound,
com.eteks.sweethome3d.viewcontroller.PlanController$LabelCreationState,Module,com.eteks.sweethome3d.viewcontroller.PlanController$LabelCreationState,LabelCreationState,#cccccc,hidden,
com.eteks.sweethome3d.swing.MultipleLevelsPlanPanel$LanguageChangeListener,Module,com.eteks.sweethome3d.swing.MultipleLevelsPlanPanel$LanguageChangeListener,LanguageChangeListener,#cccccc,outbound,
com.eteks.sweethome3d.swing.PageSetupPanel,Module,com.eteks.sweethome3d.swing.PageSetupPanel,PageSetupPanel,#cccccc,outbound,
com.eteks.sweethome3d.model.Level,Module,com.eteks.sweethome3d.model.Level,Level,#cccccc,inbound,
