id,:TYPE,:START_ID,:END_ID,references,dependencyTypes,nrDependencies:INT,nrCalls:INT
jhotdraw-contains-jhotdraw-app,CONTAINS,jhotdraw,jhotdraw-app,{},,,
jhotdraw-app-contains-CH.ifa.draw.standard,CONTAINS,jhotdraw-app,CH.ifa.draw.standard,{},,,
jhotdraw-app-contains-CH.ifa.draw.samples.net,CONTAINS,jhotdraw-app,CH.ifa.draw.samples.net,{},,,
jhotdraw-app-contains-CH.ifa.draw.figures,CONTAINS,jhotdraw-app,CH.ifa.draw.figures,{},,,
jhotdraw-app-contains-CH.ifa.draw.samples.nothing,CONTAINS,jhotdraw-app,CH.ifa.draw.samples.nothing,{},,,
jhotdraw-app-contains-CH.ifa.draw.util,CONTAINS,jhotdraw-app,CH.ifa.draw.util,{},,,
jhotdraw-app-contains-CH.ifa.draw.application,CONTAINS,jhotdraw-app,CH.ifa.draw.application,{},,,
jhotdraw-app-contains-CH.ifa.draw.framework,CONTAINS,jhotdraw-app,CH.ifa.draw.framework,{},,,
jhotdraw-app-contains-CH.ifa.draw.samples.pert,CONTAINS,jhotdraw-app,CH.ifa.draw.samples.pert,{},,,
jhotdraw-app-contains-CH.ifa.draw.samples.javadraw,CONTAINS,jhotdraw-app,CH.ifa.draw.samples.javadraw,{},,,
jhotdraw-app-contains-CH.ifa.draw.contrib,CONTAINS,jhotdraw-app,CH.ifa.draw.contrib,{},,,
jhotdraw-app-contains-CH.ifa.draw.applet,CONTAINS,jhotdraw-app,CH.ifa.draw.applet,{},,,
4cac4d60d2500eb2db71ef1193861da9,CONTAINS,CH.ifa.draw.samples.javadraw,CH.ifa.draw.samples.javadraw.JavaDrawViewer,{},,,
50126edc1c29189f877c4173c609d113,CONTAINS,CH.ifa.draw.framework,CH.ifa.draw.framework.DrawingChangeListener,{},,,
4cdf5e28b7246027c050d979626e9717,CONTAINS,CH.ifa.draw.framework,CH.ifa.draw.framework.Figure,{},,,
900277af0d56d4473a9b306bd7f91982,CONTAINS,CH.ifa.draw.samples.net,CH.ifa.draw.samples.net.NodeFigure,{},,,
e8a8c2c96656983d228711c7171f239c,CONTAINS,CH.ifa.draw.standard,CH.ifa.draw.standard.AbstractHandle,{},,,
1f152da4b9719b6bebcdf6ef5c9123c4,CONTAINS,CH.ifa.draw.util,CH.ifa.draw.util.ColorEntry,{},,,
63a475b371a0703864bc6066d3a9b51a,CONTAINS,CH.ifa.draw.standard,CH.ifa.draw.standard.ConnectionHandle,{},,,
5f859c5ce1298501eb3ca5475d0e2c72,CONTAINS,CH.ifa.draw.standard,CH.ifa.draw.standard.BoxHandleKit,{},,,
f2f1cda036d8605ea092bed8333b5697,CONTAINS,CH.ifa.draw.samples.javadraw,CH.ifa.draw.samples.javadraw.AnimationDecorator,{},,,
d0f20bd46f81d719e0ac319da0e49e99,CONTAINS,CH.ifa.draw.standard,CH.ifa.draw.standard.SelectAreaTracker,{},,,
791d6173a204daa0cafe717e03cc1595,CONTAINS,CH.ifa.draw.figures,CH.ifa.draw.figures.BorderTool,{},,,
7b2385d20ec0af7b75b06193c6b4ad23,CONTAINS,CH.ifa.draw.figures,CH.ifa.draw.figures.ChopEllipseConnector,{},,,
6ec9aea76f7b479310391e2d956d0f35,CONTAINS,CH.ifa.draw.util,CH.ifa.draw.util.ReverseVectorEnumerator,{},,,
28002dde567e4f978d0337b182118705,CONTAINS,CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,{},,,
965392ece7620cbb5cae29127c92d15f,CONTAINS,CH.ifa.draw.samples.javadraw,CH.ifa.draw.samples.javadraw.JavaDrawApplet,{},,,
7ac7cc864eb6637766f11147466080a2,CONTAINS,CH.ifa.draw.figures,CH.ifa.draw.figures.InsertImageCommand,{},,,
00823635da370c3810930ecf30e76527,CONTAINS,CH.ifa.draw.util,CH.ifa.draw.util.Filler,{},,,
55c07308710df877c8afd5f0f6ee24b9,CONTAINS,CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonScaleHandle,{},,,
17141532f3ee90251942f4d97d85bd80,CONTAINS,CH.ifa.draw.util,CH.ifa.draw.util.PaletteLayout,{},,,
856f48a457d45ab7eb709852ad531699,CONTAINS,CH.ifa.draw.standard,CH.ifa.draw.standard.ChangeConnectionStartHandle,{},,,
b729cd9007b5d68aef5be22fa7562c79,CONTAINS,CH.ifa.draw.samples.javadraw,CH.ifa.draw.samples.javadraw.PatternPainter,{},,,
59dedc7a899de774a926df770354be9d,CONTAINS,CH.ifa.draw.figures,CH.ifa.draw.figures.GroupHandle,{},,,
f1dcd7726badb4f3a31cb4403eb0775f,CONTAINS,CH.ifa.draw.figures,CH.ifa.draw.figures.ImageFigure,{},,,
1f27e018735f2686de8887c8a6dd60b4,CONTAINS,CH.ifa.draw.util,CH.ifa.draw.util.PaletteIcon,{},,,
d21494113bf045d2902f952b7ecd3353,CONTAINS,CH.ifa.draw.standard,CH.ifa.draw.standard.SouthHandle,{},,,
49054bb1edb9da68619ee7a7156871a7,CONTAINS,CH.ifa.draw.figures,CH.ifa.draw.figures.RectangleFigure,{},,,
7f32057f9d2b6bc44d39d57b139a931a,CONTAINS,CH.ifa.draw.util,CH.ifa.draw.util.Iconkit,{},,,
ac4c64da61b36ce949b53d673b26d72e,CONTAINS,CH.ifa.draw.framework,CH.ifa.draw.framework.DrawingView,{},,,
8c91f3d24de974ac383cf8285859817d,CONTAINS,CH.ifa.draw.standard,CH.ifa.draw.standard.CutCommand,{},,,
bc3541c63baa0c72e639c21b9d9dbdef,CONTAINS,CH.ifa.draw.samples.javadraw,CH.ifa.draw.samples.javadraw.FollowURLTool,{},,,
2fd6b195b60fa041835163f16d71f197,CONTAINS,CH.ifa.draw.framework,CH.ifa.draw.framework.FigureEnumeration,{},,,
d9254fb16c38e563326440e47510e8dd,CONTAINS,CH.ifa.draw.figures,CH.ifa.draw.figures.PolyLineHandle,{},,,
c66ce1909dc29e9eeb5db9e6180b083c,CONTAINS,CH.ifa.draw.figures,CH.ifa.draw.figures.LineConnection,{},,,
b5c1822d6156867b5ca64eea7196c7f1,CONTAINS,CH.ifa.draw.standard,CH.ifa.draw.standard.AbstractConnector,{},,,
c0d904873b46800bc3ff2cb36806b9f0,CONTAINS,CH.ifa.draw.standard,CH.ifa.draw.standard.CreationTool,{},,,
