id:ID,:LABEL,fullName,simpleName,color,dependencyProfileCategory,cohesion
jhotdraw,Domain,jhotdraw,jhotdraw,#666666,,
jhotdraw-app,Application,jhotdraw-app,jhotdraw-app,#666666,,
CH.ifa.draw.standard,Sublayer,CH.ifa.draw.standard,standard,#666666,,
CH.ifa.draw.samples.net,Sublayer,CH.ifa.draw.samples.net,net,#666666,,
CH.ifa.draw.figures,Sublayer,CH.ifa.draw.figures,figures,#666666,,
CH.ifa.draw.samples.nothing,Sublayer,CH.ifa.draw.samples.nothing,nothing,#666666,,
CH.ifa.draw.util,Sublayer,CH.ifa.draw.util,util,#666666,,
CH.ifa.draw.application,Sublayer,CH.ifa.draw.application,application,#666666,,
CH.ifa.draw.framework,Sublayer,CH.ifa.draw.framework,framework,#666666,,
CH.ifa.draw.samples.pert,Sublayer,CH.ifa.draw.samples.pert,pert,#666666,,
CH.ifa.draw.samples.javadraw,Sublayer,CH.ifa.draw.samples.javadraw,javadraw,#666666,,
CH.ifa.draw.contrib,Sublayer,CH.ifa.draw.contrib,contrib,#666666,,
CH.ifa.draw.applet,Sublayer,CH.ifa.draw.applet,applet,#666666,,
CH.ifa.draw.applet.DrawApplet,Module,CH.ifa.draw.applet.DrawApplet,DrawApplet,#cccccc,transit,
CH.ifa.draw.applet.SleeperThread,Module,CH.ifa.draw.applet.SleeperThread,SleeperThread,#cccccc,,
CH.ifa.draw.framework.FigureChangeListener,Module,CH.ifa.draw.framework.FigureChangeListener,FigureChangeListener,#cccccc,inbound,
CH.ifa.draw.figures.ShortestDistanceConnector,Module,CH.ifa.draw.figures.ShortestDistanceConnector,ShortestDistanceConnector,#cccccc,outbound,
CH.ifa.draw.util.PaletteListener,Module,CH.ifa.draw.util.PaletteListener,PaletteListener,#cccccc,hidden,
CH.ifa.draw.figures.GroupFigure,Module,CH.ifa.draw.figures.GroupFigure,GroupFigure,#cccccc,outbound,
CH.ifa.draw.figures.BorderDecorator,Module,CH.ifa.draw.figures.BorderDecorator,BorderDecorator,#cccccc,outbound,
CH.ifa.draw.figures.ArrowTip,Module,CH.ifa.draw.figures.ArrowTip,ArrowTip,#cccccc,hidden,
CH.ifa.draw.standard.TextHolder,Module,CH.ifa.draw.standard.TextHolder,TextHolder,#cccccc,inbound,
CH.ifa.draw.samples.net.NetApp,Module,CH.ifa.draw.samples.net.NetApp,NetApp,#cccccc,outbound,
CH.ifa.draw.samples.pert.PertApplet,Module,CH.ifa.draw.samples.pert.PertApplet,PertApplet,#cccccc,outbound,
CH.ifa.draw.util.ColorMap,Module,CH.ifa.draw.util.ColorMap,ColorMap,#cccccc,inbound,
CH.ifa.draw.framework.DrawingChangeListener,Module,CH.ifa.draw.framework.DrawingChangeListener,DrawingChangeListener,#cccccc,inbound,
CH.ifa.draw.standard.FigureChangeEventMulticaster,Module,CH.ifa.draw.standard.FigureChangeEventMulticaster,FigureChangeEventMulticaster,#cccccc,outbound,
CH.ifa.draw.figures.LineDecoration,Module,CH.ifa.draw.figures.LineDecoration,LineDecoration,#cccccc,hidden,
CH.ifa.draw.samples.javadraw.MySelectionTool,Module,CH.ifa.draw.samples.javadraw.MySelectionTool,MySelectionTool,#cccccc,outbound,
CH.ifa.draw.standard.OffsetLocator,Module,CH.ifa.draw.standard.OffsetLocator,OffsetLocator,#cccccc,transit,
CH.ifa.draw.standard.ChopBoxConnector,Module,CH.ifa.draw.standard.ChopBoxConnector,ChopBoxConnector,#cccccc,transit,
CH.ifa.draw.standard.LocatorHandle,Module,CH.ifa.draw.standard.LocatorHandle,LocatorHandle,#cccccc,transit,
CH.ifa.draw.framework.ConnectionFigure,Module,CH.ifa.draw.framework.ConnectionFigure,ConnectionFigure,#cccccc,inbound,
CH.ifa.draw.standard.AbstractConnector,Module,CH.ifa.draw.standard.AbstractConnector,AbstractConnector,#cccccc,transit,
CH.ifa.draw.standard.SelectionTool,Module,CH.ifa.draw.standard.SelectionTool,SelectionTool,#cccccc,transit,
CH.ifa.draw.contrib.DiamondFigure,Module,CH.ifa.draw.contrib.DiamondFigure,DiamondFigure,#cccccc,outbound,
CH.ifa.draw.standard.AbstractLocator,Module,CH.ifa.draw.standard.AbstractLocator,AbstractLocator,#cccccc,inbound,
CH.ifa.draw.standard.ChangeConnectionEndHandle,Module,CH.ifa.draw.standard.ChangeConnectionEndHandle,ChangeConnectionEndHandle,#cccccc,outbound,
CH.ifa.draw.standard.PasteCommand,Module,CH.ifa.draw.standard.PasteCommand,PasteCommand,#cccccc,outbound,
CH.ifa.draw.util.Animatable,Module,CH.ifa.draw.util.Animatable,Animatable,#cccccc,inbound,
CH.ifa.draw.figures.PolyLineConnector,Module,CH.ifa.draw.figures.PolyLineConnector,PolyLineConnector,#cccccc,outbound,
CH.ifa.draw.standard.WestHandle,Module,CH.ifa.draw.standard.WestHandle,WestHandle,#cccccc,hidden,
CH.ifa.draw.contrib.TriangleFigure,Module,CH.ifa.draw.contrib.TriangleFigure,TriangleFigure,#cccccc,outbound,
CH.ifa.draw.figures.RectangleFigure,Module,CH.ifa.draw.figures.RectangleFigure,RectangleFigure,#cccccc,transit,
CH.ifa.draw.samples.javadraw.BouncingDrawing,Module,CH.ifa.draw.samples.javadraw.BouncingDrawing,BouncingDrawing,#cccccc,outbound,
CH.ifa.draw.samples.nothing.NothingApplet,Module,CH.ifa.draw.samples.nothing.NothingApplet,NothingApplet,#cccccc,outbound,
CH.ifa.draw.samples.pert.PertDependency,Module,CH.ifa.draw.samples.pert.PertDependency,PertDependency,#cccccc,outbound,
CH.ifa.draw.util.StorableOutput,Module,CH.ifa.draw.util.StorableOutput,StorableOutput,#cccccc,inbound,
CH.ifa.draw.figures.PolyLineHandle,Module,CH.ifa.draw.figures.PolyLineHandle,PolyLineHandle,#cccccc,outbound,
CH.ifa.draw.figures.InsertImageCommand,Module,CH.ifa.draw.figures.InsertImageCommand,InsertImageCommand,#cccccc,outbound,
CH.ifa.draw.framework.Locator,Module,CH.ifa.draw.framework.Locator,Locator,#cccccc,inbound,
CH.ifa.draw.util.StorableInput,Module,CH.ifa.draw.util.StorableInput,StorableInput,#cccccc,inbound,
CH.ifa.draw.util.Geom,Module,CH.ifa.draw.util.Geom,Geom,#cccccc,inbound,
CH.ifa.draw.util.PaletteButton,Module,CH.ifa.draw.util.PaletteButton,PaletteButton,#cccccc,inbound,
CH.ifa.draw.util.ReverseVectorEnumerator,Module,CH.ifa.draw.util.ReverseVectorEnumerator,ReverseVectorEnumerator,#cccccc,inbound,
CH.ifa.draw.util.Command,Module,CH.ifa.draw.util.Command,Command,#cccccc,inbound,
CH.ifa.draw.figures.ElbowTextLocator,Module,CH.ifa.draw.figures.ElbowTextLocator,ElbowTextLocator,#cccccc,outbound,
CH.ifa.draw.figures.RoundRectangleFigure,Module,CH.ifa.draw.figures.RoundRectangleFigure,RoundRectangleFigure,#cccccc,outbound,
