id,:TYPE,:START_ID,:END_ID,references,dependencyTypes,nrDependencies:INT,nrCalls:INT
k9mail-contains-k9mail-app,CONTAINS,k9mail,k9mail-app,{},,,
k9mail-app-contains-com.fsck.k9.service,CONTAINS,k9mail-app,com.fsck.k9.service,{},,,
k9mail-app-contains-com.fsck.k9.view,CONTAINS,k9mail-app,com.fsck.k9.view,{},,,
k9mail-app-contains-com.fsck.k9.search,CONTAINS,k9mail-app,com.fsck.k9.search,{},,,
k9mail-app-contains-com.fsck.k9.ui.compose,CONTAINS,k9mail-app,com.fsck.k9.ui.compose,{},,,
k9mail-app-contains-com.fsck.k9.message,CONTAINS,k9mail-app,com.fsck.k9.message,{},,,
k9mail-app-contains-com.fsck.k9.ui.message,CONTAINS,k9mail-app,com.fsck.k9.ui.message,{},,,
k9mail-app-contains-com.fsck.k9.provider,CONTAINS,k9mail-app,com.fsck.k9.provider,{},,,
k9mail-app-contains-com.fsck.k9.fragment,CONTAINS,k9mail-app,com.fsck.k9.fragment,{},,,
k9mail-app-contains-com.fsck.k9.activity.misc,CONTAINS,k9mail-app,com.fsck.k9.activity.misc,{},,,
k9mail-app-contains-com.fsck.k9.mailstore,CONTAINS,k9mail-app,com.fsck.k9.mailstore,{},,,
k9mail-app-contains-com.fsck.k9.controller,CONTAINS,k9mail-app,com.fsck.k9.controller,{},,,
k9mail-app-contains-com.fsck.k9.ui.dialog,CONTAINS,k9mail-app,com.fsck.k9.ui.dialog,{},,,
k9mail-app-contains-com.fsck.k9.ui.crypto,CONTAINS,k9mail-app,com.fsck.k9.ui.crypto,{},,,
k9mail-app-contains-com.fsck.k9.activity.compose,CONTAINS,k9mail-app,com.fsck.k9.activity.compose,{},,,
k9mail-app-contains-com.fsck.k9.widget.list,CONTAINS,k9mail-app,com.fsck.k9.widget.list,{},,,
k9mail-app-contains-com.fsck.k9.preferences,CONTAINS,k9mail-app,com.fsck.k9.preferences,{},,,
k9mail-app-contains-com.fsck.k9.remotecontrol,CONTAINS,k9mail-app,com.fsck.k9.remotecontrol,{},,,
k9mail-app-contains-com.fsck.k9.helper.jsoup,CONTAINS,k9mail-app,com.fsck.k9.helper.jsoup,{},,,
k9mail-app-contains-com.fsck.k9.activity.setup,CONTAINS,k9mail-app,com.fsck.k9.activity.setup,{},,,
k9mail-app-contains-com.fsck.k9.autocrypt,CONTAINS,k9mail-app,com.fsck.k9.autocrypt,{},,,
k9mail-app-contains-com.fsck.k9.crypto,CONTAINS,k9mail-app,com.fsck.k9.crypto,{},,,
k9mail-app-contains-com.fsck.k9,CONTAINS,k9mail-app,com.fsck.k9,{},,,
k9mail-app-contains-com.fsck.k9.cache,CONTAINS,k9mail-app,com.fsck.k9.cache,{},,,
k9mail-app-contains-com.fsck.k9.power,CONTAINS,k9mail-app,com.fsck.k9.power,{},,,
k9mail-app-contains-com.fsck.k9.notification,CONTAINS,k9mail-app,com.fsck.k9.notification,{},,,
k9mail-app-contains-com.fsck.k9.mailstore.util,CONTAINS,k9mail-app,com.fsck.k9.mailstore.util,{},,,
k9mail-app-contains-com.fsck.k9.activity.loader,CONTAINS,k9mail-app,com.fsck.k9.activity.loader,{},,,
k9mail-app-contains-com.fsck.k9.message.extractors,CONTAINS,k9mail-app,com.fsck.k9.message.extractors,{},,,
k9mail-app-contains-com.fsck.k9.mailstore.migrations,CONTAINS,k9mail-app,com.fsck.k9.mailstore.migrations,{},,,
k9mail-app-contains-com.fsck.k9.account,CONTAINS,k9mail-app,com.fsck.k9.account,{},,,
k9mail-app-contains-com.fsck.k9.setup,CONTAINS,k9mail-app,com.fsck.k9.setup,{},,,
k9mail-app-contains-com.fsck.k9.ui.messageview,CONTAINS,k9mail-app,com.fsck.k9.ui.messageview,{},,,
k9mail-app-contains-com.fsck.k9.message.signature,CONTAINS,k9mail-app,com.fsck.k9.message.signature,{},,,
k9mail-app-contains-com.fsck.k9.helper,CONTAINS,k9mail-app,com.fsck.k9.helper,{},,,
k9mail-app-contains-com.fsck.k9.message.html,CONTAINS,k9mail-app,com.fsck.k9.message.html,{},,,
k9mail-app-contains-com.fsck.k9.activity,CONTAINS,k9mail-app,com.fsck.k9.activity,{},,,
k9mail-app-contains-com.fsck.k9.message.quote,CONTAINS,k9mail-app,com.fsck.k9.message.quote,{},,,
k9mail-app-contains-com.fsck.k9.ui,CONTAINS,k9mail-app,com.fsck.k9.ui,{},,,
fa0327f2187fb8fc7e5b5b3095b13d76,CONTAINS,com.fsck.k9.provider,com.fsck.k9.provider.UnreadWidgetProvider,{},,,
