id:ID,:LABEL,fullName,simpleName,color,dependencyProfileCategory,cohesion
k9mail,Domain,k9mail,k9mail,#666666,,
k9mail-app,Application,k9mail-app,k9mail-app,#666666,,
com.fsck.k9.service,Sublayer,com.fsck.k9.service,service,#666666,,
com.fsck.k9.view,Sublayer,com.fsck.k9.view,view,#666666,,
com.fsck.k9.search,Sublayer,com.fsck.k9.search,search,#666666,,
com.fsck.k9.ui.compose,Sublayer,com.fsck.k9.ui.compose,compose,#666666,,
com.fsck.k9.message,Sublayer,com.fsck.k9.message,message,#666666,,
com.fsck.k9.ui.message,Sublayer,com.fsck.k9.ui.message,message,#666666,,
com.fsck.k9.provider,Sublayer,com.fsck.k9.provider,provider,#666666,,
com.fsck.k9.fragment,Sublayer,com.fsck.k9.fragment,fragment,#666666,,
com.fsck.k9.activity.misc,Sublayer,com.fsck.k9.activity.misc,misc,#666666,,
com.fsck.k9.mailstore,Sublayer,com.fsck.k9.mailstore,mailstore,#666666,,
com.fsck.k9.controller,Sublayer,com.fsck.k9.controller,controller,#666666,,
com.fsck.k9.ui.dialog,Sublayer,com.fsck.k9.ui.dialog,dialog,#666666,,
com.fsck.k9.ui.crypto,Sublayer,com.fsck.k9.ui.crypto,crypto,#666666,,
com.fsck.k9.activity.compose,Sublayer,com.fsck.k9.activity.compose,compose,#666666,,
com.fsck.k9.widget.list,Sublayer,com.fsck.k9.widget.list,list,#666666,,
com.fsck.k9.preferences,Sublayer,com.fsck.k9.preferences,preferences,#666666,,
com.fsck.k9.remotecontrol,Sublayer,com.fsck.k9.remotecontrol,remotecontrol,#666666,,
com.fsck.k9.helper.jsoup,Sublayer,com.fsck.k9.helper.jsoup,jsoup,#666666,,
com.fsck.k9.activity.setup,Sublayer,com.fsck.k9.activity.setup,setup,#666666,,
com.fsck.k9.autocrypt,Sublayer,com.fsck.k9.autocrypt,autocrypt,#666666,,
com.fsck.k9.crypto,Sublayer,com.fsck.k9.crypto,crypto,#666666,,
com.fsck.k9,Sublayer,com.fsck.k9,k9,#666666,,
com.fsck.k9.cache,Sublayer,com.fsck.k9.cache,cache,#666666,,
com.fsck.k9.power,Sublayer,com.fsck.k9.power,power,#666666,,
com.fsck.k9.notification,Sublayer,com.fsck.k9.notification,notification,#666666,,
com.fsck.k9.mailstore.util,Sublayer,com.fsck.k9.mailstore.util,util,#666666,,
com.fsck.k9.activity.loader,Sublayer,com.fsck.k9.activity.loader,loader,#666666,,
com.fsck.k9.message.extractors,Sublayer,com.fsck.k9.message.extractors,extractors,#666666,,
com.fsck.k9.mailstore.migrations,Sublayer,com.fsck.k9.mailstore.migrations,migrations,#666666,,
com.fsck.k9.account,Sublayer,com.fsck.k9.account,account,#666666,,
com.fsck.k9.setup,Sublayer,com.fsck.k9.setup,setup,#666666,,
com.fsck.k9.ui.messageview,Sublayer,com.fsck.k9.ui.messageview,messageview,#666666,,
com.fsck.k9.message.signature,Sublayer,com.fsck.k9.message.signature,signature,#666666,,
com.fsck.k9.helper,Sublayer,com.fsck.k9.helper,helper,#666666,,
com.fsck.k9.message.html,Sublayer,com.fsck.k9.message.html,html,#666666,,
com.fsck.k9.activity,Sublayer,com.fsck.k9.activity,activity,#666666,,
com.fsck.k9.message.quote,Sublayer,com.fsck.k9.message.quote,quote,#666666,,
com.fsck.k9.ui,Sublayer,com.fsck.k9.ui,ui,#666666,,
com.fsck.k9.mailstore.migrations.MigrationTo31,Module,com.fsck.k9.mailstore.migrations.MigrationTo31,MigrationTo31,#cccccc,,
com.fsck.k9.activity.setup.AccountSettings,Module,com.fsck.k9.activity.setup.AccountSettings,AccountSettings,#cccccc,transit,
com.fsck.k9.fragment.MessageListFragment$FolderOperation,Module,com.fsck.k9.fragment.MessageListFragment$FolderOperation,FolderOperation,#cccccc,,
com.fsck.k9.provider.AttachmentTempFileProvider$AttachmentTempFileProviderCleanupReceiver,Module,com.fsck.k9.provider.AttachmentTempFileProvider$AttachmentTempFileProviderCleanupReceiver,AttachmentTempFileProviderCleanupReceiver,#cccccc,hidden,
com.fsck.k9.provider.DecryptedFileProvider,Module,com.fsck.k9.provider.DecryptedFileProvider,DecryptedFileProvider,#cccccc,inbound,
com.fsck.k9.mailstore.StorageManager$HtcIncredibleStorageProvider,Module,com.fsck.k9.mailstore.StorageManager$HtcIncredibleStorageProvider,HtcIncredibleStorageProvider,#cccccc,hidden,
com.fsck.k9.controller.UnavailableAccountException,Module,com.fsck.k9.controller.UnavailableAccountException,UnavailableAccountException,#cccccc,,
com.fsck.k9.mailstore.FileBackedBody,Module,com.fsck.k9.mailstore.FileBackedBody,FileBackedBody,#cccccc,hidden,
com.fsck.k9.mailstore.migrations.MigrationTo57,Module,com.fsck.k9.mailstore.migrations.MigrationTo57,MigrationTo57,#cccccc,,
com.fsck.k9.view.MessageCryptoStatusView,Module,com.fsck.k9.view.MessageCryptoStatusView,MessageCryptoStatusView,#cccccc,hidden,
