id,:TYPE,:START_ID,:END_ID,references,dependencyTypes,nrDependencies:INT,nrCalls:INT
weka-project-contains-weka-app,CONTAINS,weka-project,weka-app,{},,,
weka-app-contains-weka.classifiers.bayes.net.estimate,CONTAINS,weka-app,weka.classifiers.bayes.net.estimate,{},,,
weka-app-contains-weka.classifiers.bayes.net.search.local,CONTAINS,weka-app,weka.classifiers.bayes.net.search.local,{},,,
weka-app-contains-weka.gui.simplecli,CONTAINS,weka-app,weka.gui.simplecli,{},,,
weka-app-contains-weka.filters.supervised.attribute,CONTAINS,weka-app,weka.filters.supervised.attribute,{},,,
weka-app-contains-weka.classifiers.bayes,CONTAINS,weka-app,weka.classifiers.bayes,{},,,
weka-app-contains-weka.classifiers.trees,CONTAINS,weka-app,weka.classifiers.trees,{},,,
weka-app-contains-weka.classifiers.xml,CONTAINS,weka-app,weka.classifiers.xml,{},,,
weka-app-contains-weka.core.packageManagement,CONTAINS,weka-app,weka.core.packageManagement,{},,,
weka-app-contains-weka.classifiers.lazy,CONTAINS,weka-app,weka.classifiers.lazy,{},,,
weka-app-contains-weka.classifiers,CONTAINS,weka-app,weka.classifiers,{},,,
weka-app-contains-weka.classifiers.rules,CONTAINS,weka-app,weka.classifiers.rules,{},,,
weka-app-contains-weka.classifiers.rules.part,CONTAINS,weka-app,weka.classifiers.rules.part,{},,,
weka-app-contains-weka.core.expressionlanguage.core,CONTAINS,weka-app,weka.core.expressionlanguage.core,{},,,
weka-app-contains-weka.core.metastore,CONTAINS,weka-app,weka.core.metastore,{},,,
weka-app-contains-weka.datagenerators.classifiers.classification,CONTAINS,weka-app,weka.datagenerators.classifiers.classification,{},,,
weka-app-contains-weka.gui.knowledgeflow.steps,CONTAINS,weka-app,weka.gui.knowledgeflow.steps,{},,,
weka-app-contains-weka.core.stopwords,CONTAINS,weka-app,weka.core.stopwords,{},,,
weka-app-contains-weka.classifiers.bayes.net.search.ci,CONTAINS,weka-app,weka.classifiers.bayes.net.search.ci,{},,,
weka-app-contains-weka.gui.hierarchyvisualizer,CONTAINS,weka-app,weka.gui.hierarchyvisualizer,{},,,
weka-app-contains-weka.gui.streams,CONTAINS,weka-app,weka.gui.streams,{},,,
weka-app-contains-weka.core.logging,CONTAINS,weka-app,weka.core.logging,{},,,
