id:ID,:LABEL,fullName,simpleName,color,dependencyProfileCategory,cohesion
weka-project,Domain,weka-project,weka-project,#666666,,
weka-app,Application,weka-app,weka-app,#666666,,
weka.classifiers.bayes.net.estimate,Sublayer,weka.classifiers.bayes.net.estimate,estimate,#666666,,
weka.classifiers.bayes.net.search.local,Sublayer,weka.classifiers.bayes.net.search.local,local,#666666,,
weka.gui.simplecli,Sublayer,weka.gui.simplecli,simplecli,#666666,,
weka.filters.supervised.attribute,Sublayer,weka.filters.supervised.attribute,attribute,#666666,,
weka.classifiers.bayes,Sublayer,weka.classifiers.bayes,bayes,#666666,,
weka.classifiers.trees,Sublayer,weka.classifiers.trees,trees,#666666,,
weka.classifiers.xml,Sublayer,weka.classifiers.xml,xml,#666666,,
weka.core.packageManagement,Sublayer,weka.core.packageManagement,packageManagement,#666666,,
weka.classifiers.lazy,Sublayer,weka.classifiers.lazy,lazy,#666666,,
weka.classifiers,Sublayer,weka.classifiers,classifiers,#666666,,
weka.classifiers.rules,Sublayer,weka.classifiers.rules,rules,#666666,,
weka.classifiers.rules.part,Sublayer,weka.classifiers.rules.part,part,#666666,,
weka.core.expressionlanguage.core,Sublayer,weka.core.expressionlanguage.core,core,#666666,,
weka.core.metastore,Sublayer,weka.core.metastore,metastore,#666666,,
weka.datagenerators.classifiers.classification,Sublayer,weka.datagenerators.classifiers.classification,classification,#666666,,
weka.gui.knowledgeflow.steps,Sublayer,weka.gui.knowledgeflow.steps,steps,#666666,,
weka.core.stopwords,Sublayer,weka.core.stopwords,stopwords,#666666,,
weka.classifiers.bayes.net.search.ci,Sublayer,weka.classifiers.bayes.net.search.ci,ci,#666666,,
weka.gui.hierarchyvisualizer,Sublayer,weka.gui.hierarchyvisualizer,hierarchyvisualizer,#666666,,
weka.gui.streams,Sublayer,weka.gui.streams,streams,#666666,,
weka.core.logging,Sublayer,weka.core.logging,logging,#666666,,
weka.core.neighboursearch.covertrees,Sublayer,weka.core.neighboursearch.covertrees,covertrees,#666666,,
weka.clusterers,Sublayer,weka.clusterers,clusterers,#666666,,
weka.gui.graphvisualizer,Sublayer,weka.gui.graphvisualizer,graphvisualizer,#666666,,
weka.gui.visualize,Sublayer,weka.gui.visualize,visualize,#666666,,
weka.core.expressionlanguage.weka,Sublayer,weka.core.expressionlanguage.weka,weka,#666666,,
weka.gui.beans,Sublayer,weka.gui.beans,beans,#666666,,
weka.classifiers.evaluation,Sublayer,weka.classifiers.evaluation,evaluation,#666666,,
weka.gui.knowledgeflow,Sublayer,weka.gui.knowledgeflow,knowledgeflow,#666666,,
weka.classifiers.meta,Sublayer,weka.classifiers.meta,meta,#666666,,
weka.gui.arffviewer,Sublayer,weka.gui.arffviewer,arffviewer,#666666,,
weka.datagenerators,Sublayer,weka.datagenerators,datagenerators,#666666,,
weka.classifiers.bayes.net,Sublayer,weka.classifiers.bayes.net,net,#666666,,
weka.gui.experiment,Sublayer,weka.gui.experiment,experiment,#666666,,
weka.classifiers.functions.neural,Sublayer,weka.classifiers.functions.neural,neural,#666666,,
weka.core,Sublayer,weka.core,core,#666666,,
weka.core.xml,Sublayer,weka.core.xml,xml,#666666,,
weka.classifiers.functions,Sublayer,weka.classifiers.functions,functions,#666666,,
weka,Sublayer,weka,weka,#666666,,
weka.core.neighboursearch.balltrees,Sublayer,weka.core.neighboursearch.balltrees,balltrees,#666666,,
weka.classifiers.trees.m5,Sublayer,weka.classifiers.trees.m5,m5,#666666,,
weka.gui.scripting.event,Sublayer,weka.gui.scripting.event,event,#666666,,
weka.core.neighboursearch.kdtrees,Sublayer,weka.core.neighboursearch.kdtrees,kdtrees,#666666,,
weka.classifiers.bayes.net.search.global,Sublayer,weka.classifiers.bayes.net.search.global,global,#666666,,
weka.gui.scripting,Sublayer,weka.gui.scripting,scripting,#666666,,
weka.associations,Sublayer,weka.associations,associations,#666666,,
weka.filters,Sublayer,weka.filters,filters,#666666,,
weka.gui.sql,Sublayer,weka.gui.sql,sql,#666666,,
weka.gui.explorer,Sublayer,weka.gui.explorer,explorer,#666666,,
weka.filters.unsupervised.instance,Sublayer,weka.filters.unsupervised.instance,instance,#666666,,
weka.core.stemmers,Sublayer,weka.core.stemmers,stemmers,#666666,,
weka.gui.treevisualizer,Sublayer,weka.gui.treevisualizer,treevisualizer,#666666,,
weka.classifiers.bayes.net.search,Sublayer,weka.classifiers.bayes.net.search,search,#666666,,
weka.core.json,Sublayer,weka.core.json,json,#666666,,
weka.gui,Sublayer,weka.gui,gui,#666666,,
weka.gui.filters,Sublayer,weka.gui.filters,filters,#666666,,
weka.filters.supervised.instance,Sublayer,weka.filters.supervised.instance,instance,#666666,,
weka.estimators,Sublayer,weka.estimators,estimators,#666666,,
weka.classifiers.misc,Sublayer,weka.classifiers.misc,misc,#666666,,
weka.core.matrix,Sublayer,weka.core.matrix,matrix,#666666,,
weka.classifiers.pmml.consumer,Sublayer,weka.classifiers.pmml.consumer,consumer,#666666,,
weka.core.expressionlanguage.common,Sublayer,weka.core.expressionlanguage.common,common,#666666,,
weka.datagenerators.classifiers.regression,Sublayer,weka.datagenerators.classifiers.regression,regression,#666666,,
weka.experiment.xml,Sublayer,weka.experiment.xml,xml,#666666,,
weka.gui.sql.event,Sublayer,weka.gui.sql.event,event,#666666,,
weka.datagenerators.clusterers,Sublayer,weka.datagenerators.clusterers,clusterers,#666666,,
weka.classifiers.bayes.net.search.fixed,Sublayer,weka.classifiers.bayes.net.search.fixed,fixed,#666666,,
weka.core.pmml,Sublayer,weka.core.pmml,pmml,#666666,,
weka.knowledgeflow.steps,Sublayer,weka.knowledgeflow.steps,steps,#666666,,
weka.knowledgeflow,Sublayer,weka.knowledgeflow,knowledgeflow,#666666,,
weka.core.converters,Sublayer,weka.core.converters,converters,#666666,,
weka.classifiers.trees.ht,Sublayer,weka.classifiers.trees.ht,ht,#666666,,
weka.classifiers.trees.lmt,Sublayer,weka.classifiers.trees.lmt,lmt,#666666,,
weka.filters.unsupervised.attribute,Sublayer,weka.filters.unsupervised.attribute,attribute,#666666,,
weka.core.pmml.jaxbbindings,Sublayer,weka.core.pmml.jaxbbindings,jaxbbindings,#666666,,
weka.classifiers.trees.j48,Sublayer,weka.classifiers.trees.j48,j48,#666666,,
weka.attributeSelection,Sublayer,weka.attributeSelection,attributeSelection,#666666,,
weka.classifiers.lazy.kstar,Sublayer,weka.classifiers.lazy.kstar,kstar,#666666,,
weka.core.tokenizers,Sublayer,weka.core.tokenizers,tokenizers,#666666,,
weka.core.scripting,Sublayer,weka.core.scripting,scripting,#666666,,
weka.classifiers.evaluation.output.prediction,Sublayer,weka.classifiers.evaluation.output.prediction,prediction,#666666,,
weka.gui.visualize.plugins,Sublayer,weka.gui.visualize.plugins,plugins,#666666,,
weka.core.neighboursearch,Sublayer,weka.core.neighboursearch,neighboursearch,#666666,,
weka.gui.beans.xml,Sublayer,weka.gui.beans.xml,xml,#666666,,
weka.gui.boundaryvisualizer,Sublayer,weka.gui.boundaryvisualizer,boundaryvisualizer,#666666,,
weka.classifiers.pmml.producer,Sublayer,weka.classifiers.pmml.producer,producer,#666666,,
weka.core.expressionlanguage.parser,Sublayer,weka.core.expressionlanguage.parser,parser,#666666,,
weka.experiment,Sublayer,weka.experiment,experiment,#666666,,
weka.classifiers.functions.supportVector,Sublayer,weka.classifiers.functions.supportVector,supportVector,#666666,,
weka.core.expressionlanguage.common.SimpleVariableDeclarations,Module,weka.core.expressionlanguage.common.SimpleVariableDeclarations,SimpleVariableDeclarations,#cccccc,hidden,
weka.attributeSelection.CfsSubsetEval,Module,weka.attributeSelection.CfsSubsetEval,CfsSubsetEval,#cccccc,outbound,
weka.core.stopwords.Null,Module,weka.core.stopwords.Null,Null,#cccccc,hidden,
weka.gui.boundaryvisualizer.BoundaryVisualizer,Module,weka.gui.boundaryvisualizer.BoundaryVisualizer,BoundaryVisualizer,#cccccc,transit,
weka.gui.streams.SerialInstanceListener,Module,weka.gui.streams.SerialInstanceListener,SerialInstanceListener,#cccccc,,
weka.gui.beans.KnowledgeFlowApp$InvisibleTreeModel,Module,weka.gui.beans.KnowledgeFlowApp$InvisibleTreeModel,InvisibleTreeModel,#cccccc,hidden,
weka.core.pmml.jaxbbindings.Discretize,Module,weka.core.pmml.jaxbbindings.Discretize,Discretize,#cccccc,,
weka.core.expressionlanguage.parser.Scanner,Module,weka.core.expressionlanguage.parser.Scanner,Scanner,#cccccc,hidden,
weka.gui.beans.DataSourceListener,Module,weka.gui.beans.DataSourceListener,DataSourceListener,#cccccc,hidden,
weka.gui.beans.GraphEvent,Module,weka.gui.beans.GraphEvent,GraphEvent,#cccccc,,
weka.gui.PackageManager$Progressable,Module,weka.gui.PackageManager$Progressable,Progressable,#cccccc,hidden,
weka.gui.boundaryvisualizer.RemoteBoundaryVisualizerSubTask,Module,weka.gui.boundaryvisualizer.RemoteBoundaryVisualizerSubTask,RemoteBoundaryVisualizerSubTask,#cccccc,hidden,
weka.classifiers.trees.j48.NBTreeModelSelection,Module,weka.classifiers.trees.j48.NBTreeModelSelection,NBTreeModelSelection,#cccccc,outbound,
weka.core.pmml.jaxbbindings.Chebychev,Module,weka.core.pmml.jaxbbindings.Chebychev,Chebychev,#cccccc,,
weka.gui.JTableHelper,Module,weka.gui.JTableHelper,JTableHelper,#cccccc,inbound,
weka.gui.HierarchyPropertyParser,Module,weka.gui.HierarchyPropertyParser,HierarchyPropertyParser,#cccccc,inbound,
weka.core.expressionlanguage.common.Operators,Module,weka.core.expressionlanguage.common.Operators,Operators,#cccccc,inbound,
weka.gui.beans.MetaBean,Module,weka.gui.beans.MetaBean,MetaBean,#cccccc,hidden,
weka.core.expressionlanguage.common.JavaMacro$InvalidSignature,Module,weka.core.expressionlanguage.common.JavaMacro$InvalidSignature,InvalidSignature,#cccccc,outbound,
weka.estimators.UnivariateNormalEstimator,Module,weka.estimators.UnivariateNormalEstimator,UnivariateNormalEstimator,#cccccc,transit,
weka.gui.explorer.ExplorerDefaults,Module,weka.gui.explorer.ExplorerDefaults,ExplorerDefaults,#cccccc,transit,
weka.core.neighboursearch.balltrees.MiddleOutConstructor$ListNode,Module,weka.core.neighboursearch.balltrees.MiddleOutConstructor$ListNode,ListNode,#cccccc,outbound,
weka.filters.unsupervised.attribute.Transpose,Module,weka.filters.unsupervised.attribute.Transpose,Transpose,#cccccc,outbound,
weka.filters.unsupervised.instance.ReservoirSample,Module,weka.filters.unsupervised.instance.ReservoirSample,ReservoirSample,#cccccc,outbound,
weka.core.expressionlanguage.weka.StatsHelper,Module,weka.core.expressionlanguage.weka.StatsHelper,StatsHelper,#cccccc,,
weka.gui.scripting.FileScriptingPanel$BasicAction,Module,weka.gui.scripting.FileScriptingPanel$BasicAction,BasicAction,#cccccc,outbound,
weka.filters.supervised.instance.SpreadSubsample,Module,weka.filters.supervised.instance.SpreadSubsample,SpreadSubsample,#cccccc,outbound,
weka.core.Optimization,Module,weka.core.Optimization,Optimization,#cccccc,transit,
