package,class,layer,count
org.jetuml,org.jetuml.JetUML,Service Layer,0.5
org.jetuml,org.jetuml.JetUML,Domain Layer,0.25
org.jetuml,org.jetuml.JetUML,Presentation Layer,0.25
org.jetuml.application,org.jetuml.application.ApplicationResources,Data Source Layer,1.0
org.jetuml.application,org.jetuml.application.Clipboard,Domain Layer,0.2
org.jetuml.application,org.jetuml.application.Clipboard,Service Layer,0.8
org.jetuml.application,org.jetuml.application.FileExtensions,Service Layer,1.0
org.jetuml.application,org.jetuml.application.RecentFilesQueue,Data Source Layer,0.42857142857142855
org.jetuml.application,org.jetuml.application.RecentFilesQueue,Domain Layer,0.5714285714285714
org.jetuml.application,org.jetuml.application.UserPreferences,Service Layer,0.4444444444444444
org.jetuml.application,org.jetuml.application.UserPreferences,Domain Layer,0.3333333333333333
org.jetuml.application,org.jetuml.application.UserPreferences,Data Source Layer,0.2222222222222222
org.jetuml.application,org.jetuml.application.UserPreferences$BooleanPreferenceChangeHandler,Service Layer,1.0
org.jetuml.application,org.jetuml.application.UserPreferences$IntegerPreference,Data Source Layer,1.0
org.jetuml.application,org.jetuml.application.UserPreferences$IntegerPreferenceChangeHandler,Service Layer,1.0
org.jetuml.application,org.jetuml.application.Version,Domain Layer,1.0
org.jetuml.diagram,org.jetuml.diagram.AbstractDiagramElement,Domain Layer,1.0
org.jetuml.diagram,org.jetuml.diagram.Diagram,Domain Layer,0.95
org.jetuml.diagram,org.jetuml.diagram.Diagram,Data Source Layer,0.05
org.jetuml.diagram,org.jetuml.diagram.DiagramData,Domain Layer,1.0
org.jetuml.diagram,org.jetuml.diagram.DiagramElement,Domain Layer,1.0
org.jetuml.diagram,org.jetuml.diagram.DiagramType,Service Layer,0.25
org.jetuml.diagram,org.jetuml.diagram.DiagramType,Domain Layer,0.625
org.jetuml.diagram,org.jetuml.diagram.DiagramType,Data Source Layer,0.125
org.jetuml.diagram,org.jetuml.diagram.Edge,Domain Layer,1.0
org.jetuml.diagram,org.jetuml.diagram.Node,Domain Layer,0.9333333333333333
org.jetuml.diagram,org.jetuml.diagram.Node,Presentation Layer,0.06666666666666667
org.jetuml.diagram,org.jetuml.diagram.Properties,Domain Layer,1.0
org.jetuml.diagram,org.jetuml.diagram.Property,Domain Layer,1.0
