package,class,layer,count
com.eteks.sweethome3d,com.eteks.sweethome3d.HomeFrameController,Service Layer,0.5
com.eteks.sweethome3d,com.eteks.sweethome3d.HomeFrameController,Presentation Layer,0.5
com.eteks.sweethome3d,com.eteks.sweethome3d.HomeFramePane,Presentation Layer,1.0
com.eteks.sweethome3d,com.eteks.sweethome3d.HomeFramePane$LanguageChangeListener,Cross-Cutting,0.5
com.eteks.sweethome3d,com.eteks.sweethome3d.HomeFramePane$LanguageChangeListener,Presentation Layer,0.5
com.eteks.sweethome3d,com.eteks.sweethome3d.MacOSXConfiguration,Service Layer,0.25
com.eteks.sweethome3d,com.eteks.sweethome3d.MacOSXConfiguration,Presentation Layer,0.25
com.eteks.sweethome3d,com.eteks.sweethome3d.MacOSXConfiguration,Cross-Cutting,0.5
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D,Data Source Layer,0.2857142857142857
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D,Service Layer,0.42857142857142855
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D,Cross-Cutting,0.2857142857142857
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D$FileContentManagerWithRecordedLastDirectories,Service Layer,1.0
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D$StandaloneBasicService,Cross-Cutting,0.75
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D$StandaloneBasicService,Service Layer,0.25
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D$StandaloneServiceManager,Service Layer,1.0
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D$StandaloneSingleInstanceService,Service Layer,0.75
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D$StandaloneSingleInstanceService,Data Source Layer,0.25
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3DBootstrap,Cross-Cutting,1.0
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletApplication,Service Layer,0.2857142857142857
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletApplication,Cross-Cutting,0.42857142857142855
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletApplication,Data Source Layer,0.2857142857142857
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletApplication$AppletBasicService,Service Layer,0.4
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletApplication$AppletBasicService,Cross-Cutting,0.6
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletApplication$AppletFurnitureTable,Presentation Layer,1.0
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletApplication$StandaloneServiceManager,Service Layer,1.0
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletContentManager,Service Layer,0.5
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletContentManager,Presentation Layer,0.3333333333333333
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletContentManager,Cross-Cutting,0.16666666666666666
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletUserPreferences,Data Source Layer,0.375
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletUserPreferences,Cross-Cutting,0.375
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletUserPreferences,Service Layer,0.1875
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.AppletUserPreferences,Domain Layer,0.0625
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.HomeAppletController,Service Layer,0.7
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.HomeAppletController,Presentation Layer,0.2
com.eteks.sweethome3d.applet,com.eteks.sweethome3d.applet.HomeAppletController,Domain Layer,0.1
