package,class,layer,count
CH.ifa.draw.applet,CH.ifa.draw.applet.DrawApplet,Cross-Cutting,0.2222222222222222
CH.ifa.draw.applet,CH.ifa.draw.applet.DrawApplet,Domain Layer,0.1111111111111111
CH.ifa.draw.applet,CH.ifa.draw.applet.DrawApplet,Presentation Layer,0.5555555555555556
CH.ifa.draw.applet,CH.ifa.draw.applet.DrawApplet,Service Layer,0.1111111111111111
CH.ifa.draw.applet,CH.ifa.draw.applet.SleeperThread,Presentation Layer,1.0
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,Presentation Layer,0.5555555555555556
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,Cross-Cutting,0.2222222222222222
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,Service Layer,0.16666666666666666
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,Data Source Layer,0.05555555555555555
CH.ifa.draw.contrib,CH.ifa.draw.contrib.ChopPolygonConnector,Cross-Cutting,0.5
CH.ifa.draw.contrib,CH.ifa.draw.contrib.ChopPolygonConnector,Service Layer,0.5
CH.ifa.draw.contrib,CH.ifa.draw.contrib.DiamondFigure,Domain Layer,0.6
CH.ifa.draw.contrib,CH.ifa.draw.contrib.DiamondFigure,Presentation Layer,0.4
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,Domain Layer,0.7647058823529411
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,Data Source Layer,0.058823529411764705
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,Presentation Layer,0.11764705882352941
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,Cross-Cutting,0.058823529411764705
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonHandle,Domain Layer,0.5
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonHandle,Service Layer,0.25
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonHandle,Presentation Layer,0.25
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonScaleHandle,Domain Layer,0.6666666666666666
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonScaleHandle,Presentation Layer,0.16666666666666666
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonScaleHandle,Cross-Cutting,0.16666666666666666
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonTool,Service Layer,0.42857142857142855
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonTool,Cross-Cutting,0.14285714285714285
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonTool,Domain Layer,0.14285714285714285
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonTool,Presentation Layer,0.2857142857142857
CH.ifa.draw.contrib,CH.ifa.draw.contrib.TriangleFigure,Domain Layer,0.7692307692307693
CH.ifa.draw.contrib,CH.ifa.draw.contrib.TriangleFigure,Presentation Layer,0.15384615384615385
CH.ifa.draw.contrib,CH.ifa.draw.contrib.TriangleFigure,Data Source Layer,0.07692307692307693
CH.ifa.draw.contrib,CH.ifa.draw.contrib.TriangleRotationHandle,Domain Layer,0.16666666666666666
CH.ifa.draw.contrib,CH.ifa.draw.contrib.TriangleRotationHandle,Presentation Layer,0.16666666666666666
CH.ifa.draw.contrib,CH.ifa.draw.contrib.TriangleRotationHandle,Cross-Cutting,0.5
CH.ifa.draw.contrib,CH.ifa.draw.contrib.TriangleRotationHandle,Service Layer,0.16666666666666666
CH.ifa.draw.figures,CH.ifa.draw.figures.ArrowTip,Domain Layer,0.16666666666666666
CH.ifa.draw.figures,CH.ifa.draw.figures.ArrowTip,Cross-Cutting,0.3333333333333333
CH.ifa.draw.figures,CH.ifa.draw.figures.ArrowTip,Presentation Layer,0.16666666666666666
CH.ifa.draw.figures,CH.ifa.draw.figures.ArrowTip,Data Source Layer,0.3333333333333333
CH.ifa.draw.figures,CH.ifa.draw.figures.AttributeFigure,Presentation Layer,0.125
CH.ifa.draw.figures,CH.ifa.draw.figures.AttributeFigure,Domain Layer,0.75
CH.ifa.draw.figures,CH.ifa.draw.figures.AttributeFigure,Cross-Cutting,0.125
CH.ifa.draw.figures,CH.ifa.draw.figures.BorderDecorator,Cross-Cutting,0.3333333333333333
CH.ifa.draw.figures,CH.ifa.draw.figures.BorderDecorator,Domain Layer,0.3333333333333333
