package,class,method,layer
org.jetuml,org.jetuml.JetUML,org.jetuml.JetUML.main(java.lang.String[]),Service Layer
org.jetuml,org.jetuml.JetUML,org.jetuml.JetUML.openBrowser(java.lang.String),Service Layer
org.jetuml,org.jetuml.JetUML,org.jetuml.JetUML.org.jetuml.JetUML(),Domain Layer
org.jetuml,org.jetuml.JetUML,org.jetuml.JetUML.start(javafx.stage.Stage),Presentation Layer
org.jetuml.application,org.jetuml.application.ApplicationResources,org.jetuml.application.ApplicationResources.containsKey(java.lang.String),Data Source Layer
org.jetuml.application,org.jetuml.application.ApplicationResources,org.jetuml.application.ApplicationResources.getString(java.lang.String),Data Source Layer
org.jetuml.application,org.jetuml.application.Clipboard,org.jetuml.application.Clipboard.copy(java.lang.Iterable),Domain Layer
org.jetuml.application,org.jetuml.application.Clipboard,org.jetuml.application.Clipboard.getElements(),Service Layer
org.jetuml.application,org.jetuml.application.Clipboard,org.jetuml.application.Clipboard.instance(),Service Layer
org.jetuml.application,org.jetuml.application.Clipboard,org.jetuml.application.Clipboard.overlapsWithElementOf(org.jetuml.diagram.Diagram),Service Layer
org.jetuml.application,org.jetuml.application.Clipboard,org.jetuml.application.Clipboard.validPaste(org.jetuml.diagram.Diagram),Service Layer
org.jetuml.application,org.jetuml.application.FileExtensions,org.jetuml.application.FileExtensions.all(),Service Layer
org.jetuml.application,org.jetuml.application.FileExtensions,org.jetuml.application.FileExtensions.clipApplicationExtension(java.io.File),Service Layer
org.jetuml.application,org.jetuml.application.FileExtensions,org.jetuml.application.FileExtensions.forDiagramType(org.jetuml.diagram.DiagramType),Service Layer
org.jetuml.application,org.jetuml.application.RecentFilesQueue,org.jetuml.application.RecentFilesQueue.add(java.lang.String),Data Source Layer
org.jetuml.application,org.jetuml.application.RecentFilesQueue,org.jetuml.application.RecentFilesQueue.deserialize(java.lang.String),Domain Layer
org.jetuml.application,org.jetuml.application.RecentFilesQueue,org.jetuml.application.RecentFilesQueue.getMostRecentDirectory(),Data Source Layer
org.jetuml.application,org.jetuml.application.RecentFilesQueue,org.jetuml.application.RecentFilesQueue.iterator(),Data Source Layer
org.jetuml.application,org.jetuml.application.RecentFilesQueue,org.jetuml.application.RecentFilesQueue.org.jetuml.application.RecentFilesQueue(),Domain Layer
org.jetuml.application,org.jetuml.application.RecentFilesQueue,org.jetuml.application.RecentFilesQueue.serialize(),Domain Layer
org.jetuml.application,org.jetuml.application.RecentFilesQueue,org.jetuml.application.RecentFilesQueue.size(),Domain Layer
org.jetuml.application,org.jetuml.application.UserPreferences,org.jetuml.application.UserPreferences.addBooleanPreferenceChangeHandler(org.jetuml.application.UserPreferences$BooleanPreferenceChangeHandler),Service Layer
org.jetuml.application,org.jetuml.application.UserPreferences,org.jetuml.application.UserPreferences.addIntegerPreferenceChangeHandler(org.jetuml.application.UserPreferences$IntegerPreferenceChangeHandler),Domain Layer
org.jetuml.application,org.jetuml.application.UserPreferences,org.jetuml.application.UserPreferences.getBoolean(org.jetuml.application.UserPreferences$BooleanPreference),Domain Layer
org.jetuml.application,org.jetuml.application.UserPreferences,org.jetuml.application.UserPreferences.getInteger(org.jetuml.application.UserPreferences$IntegerPreference),Service Layer
org.jetuml.application,org.jetuml.application.UserPreferences,org.jetuml.application.UserPreferences.instance(),Service Layer
org.jetuml.application,org.jetuml.application.UserPreferences,org.jetuml.application.UserPreferences.removeBooleanPreferenceChangeHandler(org.jetuml.application.UserPreferences$BooleanPreferenceChangeHandler),Domain Layer
org.jetuml.application,org.jetuml.application.UserPreferences,org.jetuml.application.UserPreferences.removeIntegerPreferenceChangeHandler(org.jetuml.application.UserPreferences$IntegerPreferenceChangeHandler),Service Layer
org.jetuml.application,org.jetuml.application.UserPreferences,"org.jetuml.application.UserPreferences.setBoolean(org.jetuml.application.UserPreferences$BooleanPreference,boolean)",Data Source Layer
org.jetuml.application,org.jetuml.application.UserPreferences,"org.jetuml.application.UserPreferences.setInteger(org.jetuml.application.UserPreferences$IntegerPreference,int)",Data Source Layer
org.jetuml.application,org.jetuml.application.UserPreferences$BooleanPreferenceChangeHandler,org.jetuml.application.UserPreferences$BooleanPreferenceChangeHandler.booleanPreferenceChanged(org.jetuml.application.UserPreferences$BooleanPreference),Service Layer
org.jetuml.application,org.jetuml.application.UserPreferences$IntegerPreference,org.jetuml.application.UserPreferences$IntegerPreference.getDefault(),Data Source Layer
org.jetuml.application,org.jetuml.application.UserPreferences$IntegerPreferenceChangeHandler,org.jetuml.application.UserPreferences$IntegerPreferenceChangeHandler.integerPreferenceChanged(org.jetuml.application.UserPreferences$IntegerPreference),Service Layer
org.jetuml.application,org.jetuml.application.Version,org.jetuml.application.Version.compareTo(org.jetuml.application.Version),Domain Layer
org.jetuml.application,org.jetuml.application.Version,org.jetuml.application.Version.compatibleWith(org.jetuml.application.Version),Domain Layer
org.jetuml.application,org.jetuml.application.Version,"org.jetuml.application.Version.create(int,int)",Domain Layer
org.jetuml.application,org.jetuml.application.Version,"org.jetuml.application.Version.create(int,int,int)",Domain Layer
org.jetuml.application,org.jetuml.application.Version,org.jetuml.application.Version.equals(java.lang.Object),Domain Layer
org.jetuml.application,org.jetuml.application.Version,org.jetuml.application.Version.hashCode(),Domain Layer
org.jetuml.application,org.jetuml.application.Version,org.jetuml.application.Version.parse(java.lang.String),Domain Layer
org.jetuml.application,org.jetuml.application.Version,org.jetuml.application.Version.toString(),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.AbstractDiagramElement,org.jetuml.diagram.AbstractDiagramElement.properties(),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,"org.jetuml.diagram.Diagram.addEdge(int,org.jetuml.diagram.Edge)",Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.addEdge(org.jetuml.diagram.Edge),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.addRootNode(org.jetuml.diagram.Node),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.allNodes(),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.contains(org.jetuml.diagram.DiagramElement),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.containsAsRoot(org.jetuml.diagram.Node),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.duplicate(),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.edges(),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.edgesConnectedTo(org.jetuml.diagram.Node),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,"org.jetuml.diagram.Diagram.edgesTo(org.jetuml.diagram.Node,java.lang.Class)",Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.getFileExtension(),Data Source Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.getName(),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.getPrototypes(),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.getType(),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.indexOf(org.jetuml.diagram.Edge),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.org.jetuml.diagram.Diagram(org.jetuml.diagram.DiagramType),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.placeOnTop(org.jetuml.diagram.Node),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.removeEdge(org.jetuml.diagram.Edge),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.removeRootNode(org.jetuml.diagram.Node),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.Diagram,org.jetuml.diagram.Diagram.rootNodes(),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.DiagramData,org.jetuml.diagram.DiagramData.edges(),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.DiagramData,org.jetuml.diagram.DiagramData.rootNodes(),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.DiagramElement,org.jetuml.diagram.DiagramElement.properties(),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.DiagramType,org.jetuml.diagram.DiagramType.fromName(java.lang.String),Service Layer
org.jetuml.diagram,org.jetuml.diagram.DiagramType,org.jetuml.diagram.DiagramType.getFileExtension(),Domain Layer
org.jetuml.diagram,org.jetuml.diagram.DiagramType,org.jetuml.diagram.DiagramType.getFileNameDescription(),Data Source Layer
