package,class,method,layer
com.eteks.sweethome3d,com.eteks.sweethome3d.HomeFrameController,"com.eteks.sweethome3d.HomeFrameController.com.eteks.sweethome3d.HomeFrameController(com.eteks.sweethome3d.model.Home,com.eteks.sweethome3d.model.HomeApplication,com.eteks.sweethome3d.viewcontroller.ViewFactory,com.eteks.sweethome3d.viewcontroller.ContentManager,com.eteks.sweethome3d.plugin.PluginManager)",Service Layer
com.eteks.sweethome3d,com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.HomeFrameController.displayView(),Presentation Layer
com.eteks.sweethome3d,com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.HomeFrameController.getHomeController(),Service Layer
com.eteks.sweethome3d,com.eteks.sweethome3d.HomeFrameController,com.eteks.sweethome3d.HomeFrameController.getView(),Presentation Layer
com.eteks.sweethome3d,com.eteks.sweethome3d.HomeFramePane,"com.eteks.sweethome3d.HomeFramePane.com.eteks.sweethome3d.HomeFramePane(com.eteks.sweethome3d.model.Home,com.eteks.sweethome3d.model.HomeApplication,com.eteks.sweethome3d.viewcontroller.ContentManager,com.eteks.sweethome3d.HomeFrameController)",Presentation Layer
com.eteks.sweethome3d,com.eteks.sweethome3d.HomeFramePane,com.eteks.sweethome3d.HomeFramePane.displayView(),Presentation Layer
com.eteks.sweethome3d,com.eteks.sweethome3d.HomeFramePane$LanguageChangeListener,"com.eteks.sweethome3d.HomeFramePane$LanguageChangeListener.com.eteks.sweethome3d.HomeFramePane$LanguageChangeListener(javax.swing.JFrame,com.eteks.sweethome3d.HomeFramePane)",Cross-Cutting
com.eteks.sweethome3d,com.eteks.sweethome3d.HomeFramePane$LanguageChangeListener,com.eteks.sweethome3d.HomeFramePane$LanguageChangeListener.propertyChange(java.beans.PropertyChangeEvent),Presentation Layer
com.eteks.sweethome3d,com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.MacOSXConfiguration.bindToApplicationMenu(com.eteks.sweethome3d.SweetHome3D),Service Layer
com.eteks.sweethome3d,com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.MacOSXConfiguration.installToolBar(javax.swing.JRootPane),Presentation Layer
com.eteks.sweethome3d,com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.MacOSXConfiguration.isScreenMenuBarSupported(),Cross-Cutting
com.eteks.sweethome3d,com.eteks.sweethome3d.MacOSXConfiguration,com.eteks.sweethome3d.MacOSXConfiguration.isWindowFullScreen(javax.swing.JFrame),Cross-Cutting
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.SweetHome3D.getHomeRecorder(),Data Source Layer
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.SweetHome3D.getHomeRecorder(com.eteks.sweethome3d.model.HomeRecorder$Type),Service Layer
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.SweetHome3D.getId(),Cross-Cutting
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.SweetHome3D.getName(),Service Layer
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.SweetHome3D.getUserPreferences(),Service Layer
com.eteks.sweethome3d,com.eteks.sweethome3d.SweetHome3D,com.eteks.sweethome3d.SweetHome3D.getVersion(),Data Source Layer
