package,class,method,layer
CH.ifa.draw.applet,CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.applet.DrawApplet.CH.ifa.draw.applet.DrawApplet(),Cross-Cutting
CH.ifa.draw.applet,CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.applet.DrawApplet.drawing(),Domain Layer
CH.ifa.draw.applet,CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.applet.DrawApplet.init(),Presentation Layer
CH.ifa.draw.applet,CH.ifa.draw.applet.DrawApplet,"CH.ifa.draw.applet.DrawApplet.paletteUserOver(CH.ifa.draw.util.PaletteButton,boolean)",Presentation Layer
CH.ifa.draw.applet,CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.applet.DrawApplet.paletteUserSelected(CH.ifa.draw.util.PaletteButton),Presentation Layer
CH.ifa.draw.applet,CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.applet.DrawApplet.selectionChanged(CH.ifa.draw.framework.DrawingView),Presentation Layer
CH.ifa.draw.applet,CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.applet.DrawApplet.tool(),Cross-Cutting
CH.ifa.draw.applet,CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.applet.DrawApplet.toolDone(),Presentation Layer
CH.ifa.draw.applet,CH.ifa.draw.applet.DrawApplet,CH.ifa.draw.applet.DrawApplet.view(),Service Layer
CH.ifa.draw.applet,CH.ifa.draw.applet.SleeperThread,CH.ifa.draw.applet.SleeperThread.run(),Presentation Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.CH.ifa.draw.application.DrawApplication(),Presentation Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.CH.ifa.draw.application.DrawApplication(java.lang.String),Presentation Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.drawing(),Cross-Cutting
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.exit(),Cross-Cutting
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.open(),Presentation Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,"CH.ifa.draw.application.DrawApplication.paletteUserOver(CH.ifa.draw.util.PaletteButton,boolean)",Presentation Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.paletteUserSelected(CH.ifa.draw.util.PaletteButton),Presentation Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.print(),Presentation Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.promptNew(),Service Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.promptOpen(),Presentation Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.promptSaveAs(),Service Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.promptSaveAsSerialized(),Data Source Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.selectionChanged(CH.ifa.draw.framework.DrawingView),Presentation Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.setDrawing(CH.ifa.draw.framework.Drawing),Service Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.showStatus(java.lang.String),Presentation Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.tool(),Cross-Cutting
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.toolDone(),Presentation Layer
CH.ifa.draw.application,CH.ifa.draw.application.DrawApplication,CH.ifa.draw.application.DrawApplication.view(),Cross-Cutting
CH.ifa.draw.contrib,CH.ifa.draw.contrib.ChopPolygonConnector,CH.ifa.draw.contrib.ChopPolygonConnector.CH.ifa.draw.contrib.ChopPolygonConnector(),Cross-Cutting
CH.ifa.draw.contrib,CH.ifa.draw.contrib.ChopPolygonConnector,CH.ifa.draw.contrib.ChopPolygonConnector.CH.ifa.draw.contrib.ChopPolygonConnector(CH.ifa.draw.framework.Figure),Service Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.DiamondFigure,CH.ifa.draw.contrib.DiamondFigure.CH.ifa.draw.contrib.DiamondFigure(),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.DiamondFigure,"CH.ifa.draw.contrib.DiamondFigure.CH.ifa.draw.contrib.DiamondFigure(java.awt.Point,java.awt.Point)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.DiamondFigure,CH.ifa.draw.contrib.DiamondFigure.connectionInsets(),Presentation Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.DiamondFigure,"CH.ifa.draw.contrib.DiamondFigure.containsPoint(int,int)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.DiamondFigure,CH.ifa.draw.contrib.DiamondFigure.draw(java.awt.Graphics),Presentation Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.CH.ifa.draw.contrib.PolygonFigure(),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,"CH.ifa.draw.contrib.PolygonFigure.CH.ifa.draw.contrib.PolygonFigure(int,int)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.CH.ifa.draw.contrib.PolygonFigure(java.awt.Polygon),Data Source Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,"CH.ifa.draw.contrib.PolygonFigure.addPoint(int,int)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,"CH.ifa.draw.contrib.PolygonFigure.basicDisplayBox(java.awt.Point,java.awt.Point)",Presentation Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,"CH.ifa.draw.contrib.PolygonFigure.basicMoveBy(int,int)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.bounds(java.awt.Polygon),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.center(),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.center(java.awt.Polygon),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.chop(java.awt.Point),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,"CH.ifa.draw.contrib.PolygonFigure.chop(java.awt.Polygon,java.awt.Point)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,"CH.ifa.draw.contrib.PolygonFigure.connectorAt(int,int)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,"CH.ifa.draw.contrib.PolygonFigure.containsPoint(int,int)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.displayBox(),Cross-Cutting
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,"CH.ifa.draw.contrib.PolygonFigure.distanceFromLine(int,int,int,int,int,int)",Cross-Cutting
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.drawBackground(java.awt.Graphics),Presentation Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.drawFrame(java.awt.Graphics),Presentation Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,"CH.ifa.draw.contrib.PolygonFigure.findSegment(int,int)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.getPolygon(),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.handles(),Presentation Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,"CH.ifa.draw.contrib.PolygonFigure.insertPointAt(java.awt.Point,int)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.isEmpty(),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.locator(int),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.outermostPoint(),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.pointAt(int),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.pointCount(),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.points(),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.read(CH.ifa.draw.util.StorableInput),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.removePointAt(int),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,"CH.ifa.draw.contrib.PolygonFigure.scaleRotate(java.awt.Point,java.awt.Polygon,java.awt.Point)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,"CH.ifa.draw.contrib.PolygonFigure.setPointAt(java.awt.Point,int)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.smoothPoints(),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,"CH.ifa.draw.contrib.PolygonFigure.splitSegment(int,int)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.contrib.PolygonFigure.write(CH.ifa.draw.util.StorableOutput),Data Source Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonHandle,"CH.ifa.draw.contrib.PolygonHandle.CH.ifa.draw.contrib.PolygonHandle(CH.ifa.draw.contrib.PolygonFigure,CH.ifa.draw.framework.Locator,int)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonHandle,"CH.ifa.draw.contrib.PolygonHandle.invokeEnd(int,int,int,int,CH.ifa.draw.framework.DrawingView)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonHandle,"CH.ifa.draw.contrib.PolygonHandle.invokeStep(int,int,int,int,CH.ifa.draw.framework.DrawingView)",Service Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonHandle,CH.ifa.draw.contrib.PolygonHandle.locate(),Presentation Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonScaleHandle,CH.ifa.draw.contrib.PolygonScaleHandle.CH.ifa.draw.contrib.PolygonScaleHandle(CH.ifa.draw.contrib.PolygonFigure),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonScaleHandle,CH.ifa.draw.contrib.PolygonScaleHandle.draw(java.awt.Graphics),Presentation Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonScaleHandle,"CH.ifa.draw.contrib.PolygonScaleHandle.invokeEnd(int,int,CH.ifa.draw.framework.Drawing)",Cross-Cutting
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonScaleHandle,"CH.ifa.draw.contrib.PolygonScaleHandle.invokeStart(int,int,CH.ifa.draw.framework.Drawing)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonScaleHandle,"CH.ifa.draw.contrib.PolygonScaleHandle.invokeStep(int,int,CH.ifa.draw.framework.Drawing)",Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonScaleHandle,CH.ifa.draw.contrib.PolygonScaleHandle.locate(),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonTool,CH.ifa.draw.contrib.PolygonTool.CH.ifa.draw.contrib.PolygonTool(CH.ifa.draw.framework.DrawingView),Service Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonTool,CH.ifa.draw.contrib.PolygonTool.activate(),Cross-Cutting
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonTool,CH.ifa.draw.contrib.PolygonTool.deactivate(),Domain Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonTool,"CH.ifa.draw.contrib.PolygonTool.mouseDown(java.awt.event.MouseEvent,int,int)",Service Layer
CH.ifa.draw.contrib,CH.ifa.draw.contrib.PolygonTool,"CH.ifa.draw.contrib.PolygonTool.mouseDrag(java.awt.event.MouseEvent,int,int)",Presentation Layer
