package,class,method,layer
com.fsck.k9,com.fsck.k9.Throttle$MyTimerTask,run(),Service Layer
com.fsck.k9,com.fsck.k9.Throttle$MyTimerTask,cancel(),Presentation Layer
com.fsck.k9,com.fsck.k9.Throttle,cancelScheduledCallback(),Execution Layer
com.fsck.k9,com.fsck.k9.Throttle,onEvent(),Service Layer
com.fsck.k9,com.fsck.k9.PRNGFixes,apply(),Utility Layer
com.fsck.k9,com.fsck.k9.BaseAccount,setEmail(java.lang.String),Domain Layer
com.fsck.k9,com.fsck.k9.BaseAccount,getEmail(),Domain Layer
com.fsck.k9,com.fsck.k9.BaseAccount,getUuid(),Domain Layer
com.fsck.k9,com.fsck.k9.BaseAccount,getDescription(),Domain Layer
com.fsck.k9,com.fsck.k9.BaseAccount,setDescription(java.lang.String),Domain Layer
com.fsck.k9,com.fsck.k9.Throttle$MyTimerTask$HandlerRunnable,run(),Service Layer
com.fsck.k9,com.fsck.k9.K9,messageListSenderAboveSubject(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,setDebug(boolean),Service Layer
com.fsck.k9,com.fsck.k9.K9,setContactNameColor(int),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setConfirmDeleteStarred(boolean),Service Layer
com.fsck.k9,com.fsck.k9.K9,setBackgroundOps(com.fsck.k9.K9$BACKGROUND_OPS),Service Layer
com.fsck.k9,com.fsck.k9.K9,setNotificationDuringQuietTimeEnabled(boolean),Service Layer
com.fsck.k9,com.fsck.k9.K9,getSplitViewMode(),Data Source Layer
com.fsck.k9,com.fsck.k9.K9,setAnimations(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,setDatabasesUpToDate(boolean),Data Source Layer
com.fsck.k9,com.fsck.k9.K9,setGesturesEnabled(boolean),Service Layer
com.fsck.k9,com.fsck.k9.K9,useBackgroundAsUnreadIndicator(),Service Layer
com.fsck.k9,com.fsck.k9.K9,isColorizeMissingContactPictures(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setMessageViewReturnToList(boolean),Domain Layer
com.fsck.k9,com.fsck.k9.K9,getOpenPgpSupportSignOnly(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setPgpInlineDialogCounter(int),Domain Layer
com.fsck.k9,com.fsck.k9.K9,registerApplicationAware(com.fsck.k9.K9$ApplicationAware),Service Layer
com.fsck.k9,com.fsck.k9.K9,setNotificationQuickDeleteBehaviour(com.fsck.k9.K9$NotificationQuickDelete),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setHideUserAgent(boolean),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setMessageViewArchiveActionVisible(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,setLockScreenNotificationVisibility(com.fsck.k9.K9$LockScreenNotificationVisibility),Service Layer
com.fsck.k9,com.fsck.k9.K9,setMessageListPreviewLines(int),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,setQuietTimeStarts(java.lang.String),Service Layer
com.fsck.k9,com.fsck.k9.K9,messageViewShowNext(),Service Layer
com.fsck.k9,com.fsck.k9.K9,setHideTimeZone(boolean),Domain Layer
com.fsck.k9,com.fsck.k9.K9,isMessageViewCopyActionVisible(),Service Layer
com.fsck.k9,com.fsck.k9.K9,showCorrespondentNames(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,getPgpSignOnlyDialogCounter(),Utility Layer
com.fsck.k9,com.fsck.k9.K9,save(com.fsck.k9.preferences.StorageEditor),Data Source Layer
com.fsck.k9,com.fsck.k9.K9,getQuietTimeEnabled(),Service Layer
com.fsck.k9,com.fsck.k9.K9,setSplitViewMode(com.fsck.k9.K9$SplitViewMode),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,getSortType(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setMessageViewFixedWidthFont(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,setQuietTimeEnabled(boolean),Domain Layer
com.fsck.k9,com.fsck.k9.K9,getK9ThemeResourceId(com.fsck.k9.K9$Theme),Utility Layer
com.fsck.k9,com.fsck.k9.K9,getK9ThemeResourceId(),Utility Layer
com.fsck.k9,com.fsck.k9.K9,setMessageViewCopyActionVisible(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,getK9Language(),Data Source Layer
com.fsck.k9,com.fsck.k9.K9,getK9MessageViewTheme(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,showContactName(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,gesturesEnabled(),Service Layer
com.fsck.k9,com.fsck.k9.K9,setShowContactName(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,wrapFolderNames(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,setMessageListSenderAboveSubject(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,getLockScreenNotificationVisibility(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,getFontSizes(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,isNotificationDuringQuietTimeEnabled(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,measureAccounts(),Service Layer
com.fsck.k9,com.fsck.k9.K9,useFixedMessageViewTheme(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,"setSortAscending(com.fsck.k9.Account$SortType,boolean)",Service Layer
com.fsck.k9,com.fsck.k9.K9,getBackgroundOps(),Service Layer
com.fsck.k9,com.fsck.k9.K9,setColorizeMissingContactPictures(boolean),Service Layer
com.fsck.k9,com.fsck.k9.K9,confirmSpam(),Service Layer
com.fsck.k9,com.fsck.k9.K9,areDatabasesUpToDate(),Data Source Layer
com.fsck.k9,com.fsck.k9.K9,isThreadedViewEnabled(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setWrapFolderNames(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,getK9ComposerTheme(),Service Layer
com.fsck.k9,com.fsck.k9.K9,setMessageListCheckboxes(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,onCreate(),Service Layer
com.fsck.k9,com.fsck.k9.K9,getQuietTimeStarts(),Data Source Layer
com.fsck.k9,com.fsck.k9.K9,showContactPicture(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,messageListCheckboxes(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,setAutofitWidth(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,getQuietTimeEnds(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setMessageViewShowNext(boolean),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setChangeContactNameColor(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,setConfirmDeleteFromNotification(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,confirmDeleteStarred(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setNotificationHideSubject(com.fsck.k9.K9$NotificationHideSubject),Service Layer
com.fsck.k9,com.fsck.k9.K9,setUseFixedMessageViewTheme(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,autofitWidth(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,hideUserAgent(),None
com.fsck.k9,com.fsck.k9.K9,setMessageViewDeleteActionVisible(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,checkCachedDatabaseVersion(),Data Source Layer
com.fsck.k9,com.fsck.k9.K9,isHideSpecialAccounts(),Service Layer
com.fsck.k9,com.fsck.k9.K9,setConfirmMarkAllRead(boolean),Service Layer
com.fsck.k9,com.fsck.k9.K9,confirmDelete(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,isMessageViewArchiveActionVisible(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,getContactNameColor(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,getK9Theme(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setStartIntegratedInbox(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,countSearchMessages(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setMessageViewMoveActionVisible(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,isDebug(),Utility Layer
com.fsck.k9,com.fsck.k9.K9,getNotificationHideSubject(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setQuietTimeEnds(java.lang.String),Domain Layer
com.fsck.k9,com.fsck.k9.K9,getPgpInlineDialogCounter(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setBackgroundOps(java.lang.String),Service Layer
com.fsck.k9,com.fsck.k9.K9,setConfirmSpam(boolean),Service Layer
com.fsck.k9,com.fsck.k9.K9,setServicesEnabled(android.content.Context),Service Layer
com.fsck.k9,com.fsck.k9.K9,setHideSpecialAccounts(boolean),Domain Layer
com.fsck.k9,com.fsck.k9.K9,isSortAscending(com.fsck.k9.Account$SortType),Domain Layer
com.fsck.k9,com.fsck.k9.K9,loadPrefs(com.fsck.k9.Preferences),Data Source Layer
com.fsck.k9,com.fsck.k9.K9,setMessageListStars(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,setOpenPgpSupportSignOnly(boolean),Service Layer
com.fsck.k9,com.fsck.k9.K9,getNotificationQuickDeleteBehaviour(),Domain Layer
com.fsck.k9,com.fsck.k9.K9,showAnimations(),Service Layer
com.fsck.k9,com.fsck.k9.K9,setUseVolumeKeysForListNavigation(boolean),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,getK9MessageViewThemeSetting(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,setAttachmentDefaultPath(java.lang.String),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setPgpSignOnlyDialogCounter(int),Domain Layer
com.fsck.k9,com.fsck.k9.K9,setThreadedViewEnabled(boolean),Domain Layer
com.fsck.k9,com.fsck.k9.K9,isMessageViewMoveActionVisible(),Service Layer
com.fsck.k9,com.fsck.k9.K9,confirmDiscardMessage(),Service Layer
com.fsck.k9,com.fsck.k9.K9,setOpenPgpProvider(java.lang.String),Domain Layer
com.fsck.k9,com.fsck.k9.K9,isMessageViewSpamActionVisible(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,useVolumeKeysForNavigationEnabled(),Service Layer
com.fsck.k9,com.fsck.k9.K9,isOpenPgpProviderConfigured(),Service Layer
com.fsck.k9,com.fsck.k9.K9,useVolumeKeysForListNavigationEnabled(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,setK9MessageViewThemeSetting(com.fsck.k9.K9$Theme),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,messageListPreviewLines(),Presentation Layer
com.fsck.k9,com.fsck.k9.K9,setShowContactPicture(boolean),Service Layer
com.fsck.k9,com.fsck.k9.K9,setMessageViewSpamActionVisible(boolean),Presentation Layer
