"Name","Instance Count","Size (bytes)"
"CH.ifa.draw.standard.ChangeAttributeCommand",156,4992
"CH.ifa.draw.standard.ToolButton",52,12064
"CH.ifa.draw.util.PaletteIcon",52,1664
"CH.ifa.draw.standard.FigureEnumerator",39,624
"CH.ifa.draw.figures.ArrowTip",16,640
"CH.ifa.draw.standard.CreationTool",16,640
"CH.ifa.draw.util.CommandButton",16,3712
"CH.ifa.draw.util.CommandChoice",16,3712
"CH.ifa.draw.util.ColorEntry",15,360
"CH.ifa.draw.util.PaletteLayout",12,288
"CH.ifa.draw.figures.FigureAttributes",9,216
"CH.ifa.draw.figures.TextFigure",8,576
"CH.ifa.draw.standard.BufferedUpdateStrategy",8,256
"CH.ifa.draw.standard.ConnectionTool",8,448
"CH.ifa.draw.util.Filler",8,1792
"CH.ifa.draw.applet.DrawApplet$1",4,64
"CH.ifa.draw.applet.DrawApplet$2",4,64
"CH.ifa.draw.applet.DrawApplet$3",4,64
"CH.ifa.draw.contrib.PolygonTool",4,160
"CH.ifa.draw.figures.BorderTool",4,96
"CH.ifa.draw.figures.ConnectedTextTool",4,192
"CH.ifa.draw.figures.ElbowConnection",4,224
"CH.ifa.draw.figures.EllipseFigure",4,160
"CH.ifa.draw.figures.GroupCommand",4,96
"CH.ifa.draw.figures.LineConnection",4,224
"CH.ifa.draw.figures.LineFigure",4,192
"CH.ifa.draw.figures.RectangleFigure",4,160
"CH.ifa.draw.figures.RoundRectangleFigure",4,192
"CH.ifa.draw.figures.ScribbleTool",4,160
"CH.ifa.draw.figures.TextTool",4,192
"CH.ifa.draw.figures.UngroupCommand",4,96
"CH.ifa.draw.samples.javadraw.BouncingDrawing",4,192
"CH.ifa.draw.samples.javadraw.JavaDrawApplet$1",4,64
"CH.ifa.draw.samples.javadraw.URLTool",4,128
"CH.ifa.draw.standard.DeleteCommand",4,96
"CH.ifa.draw.standard.DuplicateCommand",4,96
"CH.ifa.draw.standard.SelectionTool",4,128
"CH.ifa.draw.standard.StandardDrawingView",4,1280
"CH.ifa.draw.util.Iconkit",4,96
"CH.ifa.draw.samples.javadraw.JavaDrawApplet",3,1032
"CH.ifa.draw.util.ColorEntry[ ]",1,80
