"Name","Instance Count","Size (bytes)"
"CH.ifa.draw.framework.DrawingChangeEvent",397,9528
"CH.ifa.draw.framework.FigureChangeEvent",367,8808
"CH.ifa.draw.standard.FigureEnumerator",290,4640
"CH.ifa.draw.standard.ChangeAttributeCommand",132,4224
"CH.ifa.draw.standard.ToolButton",26,6032
"CH.ifa.draw.util.PaletteIcon",26,832
"CH.ifa.draw.util.CommandMenu",20,1920
"CH.ifa.draw.standard.RelativeLocator",16,512
"CH.ifa.draw.util.ColorEntry",15,360
"CH.ifa.draw.standard.AlignCommand",12,288
"CH.ifa.draw.figures.ArrowTip",8,320
"CH.ifa.draw.standard.CreationTool",8,320
"CH.ifa.draw.figures.FigureAttributes",5,120
"CH.ifa.draw.figures.TextFigure",4,288
"CH.ifa.draw.standard.ConnectionTool",4,224
"CH.ifa.draw.figures.RectangleFigure",3,120
"CH.ifa.draw.application.DrawApplication$1",2,32
"CH.ifa.draw.application.DrawApplication$2",2,32
"CH.ifa.draw.application.DrawApplication$3",2,32
"CH.ifa.draw.application.DrawApplication$4",2,32
"CH.ifa.draw.application.DrawApplication$5",2,32
"CH.ifa.draw.application.DrawApplication$6",2,32
"CH.ifa.draw.application.DrawApplication$7",2,32
"CH.ifa.draw.application.DrawApplication$8",2,32
"CH.ifa.draw.application.DrawApplication$9",2,32
"CH.ifa.draw.contrib.PolygonTool",2,80
"CH.ifa.draw.figures.BorderTool",2,48
"CH.ifa.draw.figures.ConnectedTextTool",2,96
"CH.ifa.draw.figures.ElbowConnection",2,112
"CH.ifa.draw.figures.EllipseFigure",2,80
"CH.ifa.draw.figures.GroupCommand",2,48
"CH.ifa.draw.figures.LineConnection",2,112
"CH.ifa.draw.figures.LineFigure",2,96
"CH.ifa.draw.figures.RoundRectangleFigure",2,96
"CH.ifa.draw.figures.ScribbleTool",2,80
"CH.ifa.draw.figures.TextTool",2,96
"CH.ifa.draw.figures.UngroupCommand",2,48
"CH.ifa.draw.samples.javadraw.BouncingDrawing",2,96
"CH.ifa.draw.samples.javadraw.JavaDrawApp",2,928
"CH.ifa.draw.samples.javadraw.JavaDrawApp$1",2,32
"CH.ifa.draw.samples.javadraw.JavaDrawApp$2",2,32
"CH.ifa.draw.samples.javadraw.JavaDrawApp$3",2,32
"CH.ifa.draw.samples.javadraw.MySelectionTool",2,64
"CH.ifa.draw.samples.javadraw.URLTool",2,64
"CH.ifa.draw.standard.BringToFrontCommand",2,48
"CH.ifa.draw.standard.BufferedUpdateStrategy",2,64
"CH.ifa.draw.standard.CopyCommand",2,48
"CH.ifa.draw.standard.CutCommand",2,48
"CH.ifa.draw.standard.DeleteCommand",2,48
"CH.ifa.draw.standard.DragTracker",2,80
"CH.ifa.draw.standard.DuplicateCommand",2,48
"CH.ifa.draw.standard.EastHandle",2,48
"CH.ifa.draw.standard.NorthEastHandle",2,48
"CH.ifa.draw.standard.NorthHandle",2,48
"CH.ifa.draw.standard.NorthWestHandle",2,48
"CH.ifa.draw.standard.PasteCommand",2,48
"CH.ifa.draw.standard.ReverseFigureEnumerator",2,32
"CH.ifa.draw.standard.SendToBackCommand",2,48
"CH.ifa.draw.standard.SouthEastHandle",2,48
"CH.ifa.draw.standard.SouthHandle",2,48
"CH.ifa.draw.standard.SouthWestHandle",2,48
"CH.ifa.draw.standard.StandardDrawingView",2,640
"CH.ifa.draw.standard.ToggleGridCommand",2,48
"CH.ifa.draw.standard.WestHandle",2,48
"CH.ifa.draw.util.Iconkit",2,48
"CH.ifa.draw.util.PaletteLayout",2,48
"CH.ifa.draw.util.ReverseVectorEnumerator",2,48
"CH.ifa.draw.samples.javadraw.AnimationDecorator",1,40
"CH.ifa.draw.util.ColorEntry[ ]",1,80
