"Name","Instance Count","Size (bytes)"
"CH.ifa.draw.framework.FigureChangeEvent",111,2664
"CH.ifa.draw.framework.DrawingChangeEvent",74,1776
"CH.ifa.draw.standard.ChangeAttributeCommand",66,2112
"CH.ifa.draw.standard.FigureEnumerator",50,800
"CH.ifa.draw.util.ColorEntry",15,360
"CH.ifa.draw.standard.ToolButton",13,3016
"CH.ifa.draw.util.PaletteIcon",13,416
"CH.ifa.draw.util.CommandMenu",10,960
"CH.ifa.draw.standard.AlignCommand",6,144
"CH.ifa.draw.figures.ArrowTip",4,160
"CH.ifa.draw.figures.FigureAttributes",4,96
"CH.ifa.draw.standard.CreationTool",4,160
"CH.ifa.draw.standard.RelativeLocator",4,128
"CH.ifa.draw.figures.TextFigure",3,216
"CH.ifa.draw.standard.NullHandle",3,72
"CH.ifa.draw.standard.ReverseFigureEnumerator",3,48
"CH.ifa.draw.util.ReverseVectorEnumerator",3,72
"CH.ifa.draw.standard.ConnectionTool",2,112
"CH.ifa.draw.application.DrawApplication$1",1,16
"CH.ifa.draw.application.DrawApplication$2",1,16
"CH.ifa.draw.application.DrawApplication$3",1,16
"CH.ifa.draw.application.DrawApplication$4",1,16
"CH.ifa.draw.application.DrawApplication$5",1,16
"CH.ifa.draw.application.DrawApplication$6",1,16
"CH.ifa.draw.application.DrawApplication$7",1,16
"CH.ifa.draw.application.DrawApplication$8",1,16
"CH.ifa.draw.application.DrawApplication$9",1,16
"CH.ifa.draw.contrib.PolygonTool",1,40
"CH.ifa.draw.figures.BorderTool",1,24
"CH.ifa.draw.figures.ConnectedTextTool",1,48
"CH.ifa.draw.figures.ElbowConnection",1,56
"CH.ifa.draw.figures.EllipseFigure",1,40
"CH.ifa.draw.figures.FontSizeHandle",1,32
"CH.ifa.draw.figures.GroupCommand",1,24
"CH.ifa.draw.figures.LineConnection",1,56
"CH.ifa.draw.figures.LineFigure",1,48
"CH.ifa.draw.figures.RectangleFigure",1,40
"CH.ifa.draw.figures.RoundRectangleFigure",1,48
"CH.ifa.draw.figures.ScribbleTool",1,40
"CH.ifa.draw.figures.TextTool",1,48
"CH.ifa.draw.figures.UngroupCommand",1,24
"CH.ifa.draw.samples.javadraw.AnimationDecorator",1,40
"CH.ifa.draw.samples.javadraw.BouncingDrawing",1,48
"CH.ifa.draw.samples.javadraw.JavaDrawApp",1,464
"CH.ifa.draw.samples.javadraw.JavaDrawApp$1",1,16
"CH.ifa.draw.samples.javadraw.JavaDrawApp$2",1,16
"CH.ifa.draw.samples.javadraw.JavaDrawApp$3",1,16
"CH.ifa.draw.samples.javadraw.MySelectionTool",1,32
"CH.ifa.draw.samples.javadraw.URLTool",1,32
"CH.ifa.draw.standard.BringToFrontCommand",1,24
"CH.ifa.draw.standard.BufferedUpdateStrategy",1,32
"CH.ifa.draw.standard.CopyCommand",1,24
"CH.ifa.draw.standard.CutCommand",1,24
"CH.ifa.draw.standard.DeleteCommand",1,24
"CH.ifa.draw.standard.DragTracker",1,40
"CH.ifa.draw.standard.DuplicateCommand",1,24
"CH.ifa.draw.standard.HandleTracker",1,32
"CH.ifa.draw.standard.PasteCommand",1,24
"CH.ifa.draw.standard.SendToBackCommand",1,24
"CH.ifa.draw.standard.StandardDrawingView",1,320
"CH.ifa.draw.standard.ToggleGridCommand",1,24
"CH.ifa.draw.util.ColorEntry[ ]",1,80
"CH.ifa.draw.util.FloatingTextField",1,24
"CH.ifa.draw.util.Iconkit",1,24
"CH.ifa.draw.util.PaletteLayout",1,24
